brand, name, premium
Nike, Air Force 1 Low 3D Chenille Swoosh Black Cool Grey, -11.11
Nike, Air Force 1 Low 3D Chenille Swoosh USA (GS), 20
Nike, Air Force 1 Low 3D Chenille Swoosh White Red Blue, 12
Nike, Air Force 1 Low 90-10 All-Star (2018), 23.85
Nike, Air Force 1 Low A Cold Wall Black, 14.21
Nike, Air Force 1 Low A Cold Wall White, 29.47
Nike, Air Force 1 Low Afro Punk, -33
Nike, Air Force 1 Low Afro Punk (Khaki), -21
Nike, Air Force 1 Low Aizome Navy, -30.5
Nike, Air Force 1 Low All Over Logo Black, -10.83
Nike, Air Force 1 Low All Over Logo Red, 25.56
Nike, Air Force 1 Low All Over Logo White, 22.22
Nike, Air Force 1 Low All-Star 2009 DJ Clark Kent, -22.86
Nike, Air Force 1 Low All-Star 2010 White, 25
Nike, Air Force 1 Low Amare Stoudemire New Six, -24
Nike, Air Force 1 Low Asteroid, -50
Nike, Air Force 1 Low BHM (2012), 25.19
Nike, Air Force 1 Low Barcelona Mini Swoosh, 37.89
Nike, Air Force 1 Low Black, 1.11
Nike, Air Force 1 Low Black Gum (W), -19
Nike, Air Force 1 Low Black Sail, 24.44
Nike, Air Force 1 Low Black Turquoise, 5.26
Nike, Air Force 1 Low Black University Red, 20
Nike, Air Force 1 Low Black Velvet (W), -0.91
Nike, Air Force 1 Low Black Vivid Pink (GS), 60
Nike, Air Force 1 Low Blue Grey, -44.67
Nike, Air Force 1 Low Blue Lagoon Multi-Color, -41.25
Nike, Air Force 1 Low Bobbito Garcia Pilgrim, 15.2
Nike, Air Force 1 Low Brave Blue Mineral Teal, 92.22
Nike, Air Force 1 Low Busy P Livestrong, 161.11
Nike, Air Force 1 Low CLOT 1WORLD (2018), 88.5
Nike, Air Force 1 Low CMFT Equality Black History Month (2018), -5.63
Nike, Air Force 1 Low CMFT Penny Hardaway, -22
Nike, Air Force 1 Low CMFT Trophy Pack (2014), 3.7
Nike, Air Force 1 Low CR7 Golden Patchwork, 92.17
Nike, Air Force 1 Low Camo Dark Stucco, -25
Nike, Air Force 1 Low Camo Olive, -17
Nike, Air Force 1 Low Camo Orange, -12
Nike, Air Force 1 Low Camouflage Palm Green, 27.78
Nike, Air Force 1 Low Canvas Black, -33.08
Nike, Air Force 1 Low Canvas December Sky, 3.85
Nike, Air Force 1 Low Canvas Desert Sand, -31
Nike, Air Force 1 Low Canvas Light Bone, -31.54
Nike, Air Force 1 Low Canvas Medium Olive, -37
Nike, Air Force 1 Low Carhartt WIP Ale Brown, -3.08
Nike, Air Force 1 Low Carhartt WIP Ale Brown (GS), -11
Nike, Air Force 1 Low Carhartt WIP Ale Brown (PS), 35.71
Nike, Air Force 1 Low Carhartt WIP Ale Brown (TD), 8.62
Nike, Air Force 1 Low Caribana Festival Toronto, -25.83
Nike, Air Force 1 Low Carnival Orange (2017), -37.86
Nike, Air Force 1 Low Chicago (2016), -29.17
Nike, Air Force 1 Low China (2007), -24
Nike, Air Force 1 Low Christmas (2005), 55.56
Nike, Air Force 1 Low City Pride Atlanta, 31
Nike, Air Force 1 Low Clay Green Marble, -39
Nike, Air Force 1 Low Clot Spider Web, 138.67
Nike, Air Force 1 Low Clot Star All Over, 214
Nike, Air Force 1 Low Clot x DSM Silk, 255.56
Nike, Air Force 1 Low Collection Royale (LeBron), -25.33
Nike, Air Force 1 Low Crest Logo Black, 11.11
