type, name, total_sales, premium
Kyrie, Kyrie 2 School Bus (GS), 14, -23
Kyrie, Kyrie 2 Silver Speckle, 7, -1.67
Kyrie, Kyrie 2 Skateboard (GS), 3, 8
Kyrie, Kyrie 2 Summer Pack, 13, -10
Kyrie, Kyrie 2 The Effect, 63, 66.4
Kyrie, Kyrie 2 Triple Black, 27, 0.83
Kyrie, Kyrie 2 USA, 22, 5.83
Kyrie, Kyrie 2 What The Kyrie Sail, 91, 40.83
Kyrie, Kyrie 2 What the Kyrie Green Glow, 27, 65
Kyrie, Kyrie 3 Aqua (GS), --, 
Kyrie, Kyrie 3 BHM (2017), 71, 14.17
Kyrie, Kyrie 3 Black Ice, 27, -5.83
Kyrie, Kyrie 3 Black Suede, 207, -44.17
Kyrie, Kyrie 3 Candy Apple Red (GS), 12, -22
Kyrie, Kyrie 3 Cool Grey, 12, 0
Kyrie, Kyrie 3 Duke, 91, 26.67
Kyrie, Kyrie 3 EYBL, 49, 156.67
Kyrie, Kyrie 3 Finals Gold, 144, 25.83
Kyrie, Kyrie 3 Hyper Cobalt "Duke", 27, -24.17
Kyrie, Kyrie 3 Ivory, 20, -16.67
Kyrie, Kyrie 3 Kyrache Light, 108, -40
Kyrie, Kyrie 3 Mac and Cheese (GS), 1, 20
Kyrie, Kyrie 3 Mamba Mentality Bruce Lee, 393, 144.17
Kyrie, Kyrie 3 N7 (2017), 4, -6.67
Kyrie, Kyrie 3 N7 2017 (GS), --, 
Kyrie, Kyrie 3 Obsidian, 11, -29.17
Kyrie, Kyrie 3 Red Suede, 192, -41.67
Kyrie, Kyrie 3 Samurai, 64, 91.67
Kyrie, Kyrie 3 Summer Pack (GS), 15, -9
Kyrie, Kyrie 3 Team Red, 28, -25.83
Kyrie, Kyrie 3 Three Point Contest Candy Apple, 31, 5
Kyrie, Kyrie 3 Time to Shine, 59, 19.17
Kyrie, Kyrie 3 Triple Black, 33, -2.5
Kyrie, Kyrie 3 Warning (TD), --, 
Kyrie, Kyrie 3 What the Kyrie (GS), 19, -5
Kyrie, Kyrie 4 70s (Decades Pack), 276, -2.5
Kyrie, Kyrie 4 70s (GS), 9, -1
Kyrie, Kyrie 4 70s Decades Pack (GS), --, 
Kyrie, Kyrie 4 80s (Decades Pack), 223, -5
Kyrie, Kyrie 4 80s Decades Pack (GS), 2, 0
Kyrie, Kyrie 4 90s (Decades Pack), 218, 5.83
Kyrie, Kyrie 4 All-Star (2018), 782, 9.17
Kyrie, Kyrie 4 All-Star 2018 (GS), 27, 9
Kyrie, Kyrie 4 Ankle Taker, 128, -26.67
Kyrie, Kyrie 4 Atomic Pink (GS), 28, -22
Kyrie, Kyrie 4 Black History Month 2018 (GS), 49, 24
Kyrie, Kyrie 4 Black Metallic Silver, 191, -30.83
Kyrie, Kyrie 4 Black White, 8, 0.83
Kyrie, Kyrie 4 Blackout, 121, -4.17
Kyrie, Kyrie 4 Boston University, 2, 735.83
Kyrie, Kyrie 4 Chinese New Year (2018), 438, 50
Kyrie, Kyrie 4 Cinnamon Toast Crunch (GS), 79, 25
Kyrie, Kyrie 4 City Guardians, 196, -19.17
Kyrie, Kyrie 4 Concepts Green Lobster (Special Box), 89, 535.33
Kyrie, Kyrie 4 Confetti, 698, 140
Kyrie, Kyrie 4 Confetti (GS), 107, 77
Kyrie, Kyrie 4 Day of the Dead, 626, 14.62
Kyrie, Kyrie 4 Equality Black History Month (2018), 700, 36.67
Kyrie, Kyrie 4 Fall Foliage, 10, 376.8
Kyrie, Kyrie 4 Game Royal, 4, 17.5
Kyrie, Kyrie 4 Halloween, 840, 10
Kyrie, Kyrie 4 Halloween (GS), 50, -2
Kyrie, Kyrie 4 Kix, 452, 2.5
Kyrie, Kyrie 4 Kix (GS), 14, -30
Kyrie, Kyrie 4 Little Big Cats (TD), 1, 45.45
Kyrie, Kyrie 4 London, 13, 584.83
Kyrie, Kyrie 4 Low White Black, 14, -7.27
Kyrie, Kyrie 4 Lucky Charms, 3003, 66.67
Kyrie, Kyrie 4 Lucky Charms (GS), 329, 40
Kyrie, Kyrie 4 Mamba Mentality (PS), --, 
Kyrie, Kyrie 4 N7 (2018), 103, -16.67
Kyrie, Kyrie 4 Pitch Blue, 64, -23.33
Kyrie, Kyrie 4 Power Is Female, 176, 7.5
Kyrie, Kyrie 4 Think 16, 164, -25.83
Kyrie, Kyrie 4 Uncle Drew, 559, -6.67
Kyrie, Kyrie 4 Uncle Drew (GS), 1, 30
Kyrie, Kyrie 4 Uncle Drew (TD), --, 
Kyrie, Kyrie 4 University Red, 7, 5
Kyrie, Kyrie 4 White Black, 9, 15.83
Kyrie, Kyrie 4 White Deep Royal Blue, 24, -30.83
Kyrie, Kyrie 4 Year of the Monkey, 228, -24.8
Kyrie, Kyrie 5 BHM (2019), 16, 26.92
Kyrie, Kyrie 5 Black Magic, 294, -9.23
Kyrie, Kyrie 5 Concepts Ikhet, 2113, 41.43
Kyrie, Kyrie 5 Just Do It (GS), 12, 19.09
Kyrie, Kyrie 5 Just Do It (PS), --, 
Kyrie, Kyrie 5 Just Do It (TD), --, 
Kyrie, Kyrie 5 Multi-Color, 209, -12.31
Kyrie, Kyrie 5 Multi-Color (PS), --, 
Kyrie, Kyrie 5 Taco PE, 1707, 21.54
Kyrie, Kyrie Flytrap Black Gunsmoke, 3, -27.5
Kyrie, Kyrie Low 1 Amarillo, 33, -11.82
Kyrie, Kyrie Low 1 Floral, 1, -0.91
Kyrie, Kyrie Low 1 Hot Punch, 31, 14.55
Kyrie, Kyrie Low 1 Triple Black, 13, -6.36
Kyrie, Kyrie Low 1 Uncle Drew, 56, 43.64
Kyrie, Kyrie Low 1 White Black, 46, -4.55
Kyrie, Nike Basketball LeBron Kyrie Four Wins Game 3 Homecoming Championship Pack, 32, -4.67
Kyrie, Nike Basketball LeBron Kyrie Four Wins Game 5 Forty Ones Championship Pack, 27, 34.33
Kyrie, Nike Basketball LeBron Kyrie Four Wins Game 6 Unbroken Championship Pack, 28, 8.67
Kyrie, Nike Basketball LeBron Kyrie Four Wins Game 7 Fifty-Two Years Championship Pack, 36, 67.33
Kyrie, Nike Hyperdunk 2013 Kyrie Irving Australia PE, 6, 1.43
Kyrie, Nike Kyrie 3 Sneaker Room Mom (Red), 13, 152
Kyrie, Nike Kyrie S1 Hybrid What The (Multicolor), 278, 20
PG, Nike PG 1 Baseline, 41, -30
PG, Nike PG 1 Black Aqua, 128, -41.82
PG, Nike PG 1 Black Gum, 133, -25.45
PG, Nike PG 1 Black Ice, 18, 5.45
PG, Nike PG 1 Black University Gold, 132, -31.82
PG, Nike PG 1 Bright Violet, 123, -41.82
PG, Nike PG 1 Elements, 38, -32.73
PG, Nike PG 1 Flip the Switch, 34, 24.55
PG, Nike PG 1 Game Royal, 86, -38.18
PG, Nike PG 1 Glacier Grey, 13, -28.18
PG, Nike PG 1 Ivory, 77, -5.45
PG, Nike PG 1 Prototype (GS), 1, 15.79
PG, Nike PG 1 Score In Bunches (GS), 7, -35.56
PG, Nike PG 1 Shining "Pre-Heat", 135, 63.64
PG, Nike PG 1 USA, 211, -35.45
PG, Nike PG 1 University Red, 52, -26.36
PG, Nike PG 1 Volt, 121, -38.18
PG, Nike PG 1 White Ice, 20, 0.91
PG, Nike PG 2 ACG, 47, -19.09
PG, Nike PG 2 Anthracite Hot Punch, 28, -31.82
PG, Nike PG 2 Blue Lagoon, 96, -38.18
PG, Nike PG 2 Playstation, 954, 378.18
PG, Nike PG 2 Pure Platinum (GS), 1, 0
PG, Nike PG 2.5 Black Photo Blue, 36, -10.91
PG, Nike PG 2.5 Black Pure Platinum, 4, -25.45
PG, Nike PG 2.5 Dark Grey, 83, -28.18
PG, Nike PG 2.5 Fresno State, 40, -14.55
PG, Nike PG 2.5 Pendleton, 46, 29.09
PG, Nike PG 2.5 Playstation Multi-Color, 994, 38.18
PG, Nike PG 2.5 Playstation White, 553, 70
PG, Nike PG 2.5 Playstation Wolf Grey, 6134, 38.18
PG, Nike PG 2.5 Playstation Wolf Grey (GS), 517, 8.89
PG, Nike PG 3 BHM (2019), 5, 40
PG, Nike PG 3 NASA, 1121, 21.67
PG, Nike PG 3 NASA (Finishline Special Box), 38, 72.5
PG, Nike PG 3 NASA (GS), 14, 19
PG, PG 1 Pure Platinum, 15, -39.09
PG, PG 1 The Bait, 41, -13.64
PG, PG 2 All-Star (2018), 130, 10.91
PG, PG 2 All-Star 2018 (GS), 1, 72.22
PG, PG 2 Home, 146, -22.73
PG, PG 2 Mamba Mentality, 270, -10
PG, PG 2 NCAA, 131, 0.91
PG, PG 2 Pure Platinum, 24, -40
PG, PG 2 Taurus, 50, -19.09
PG, PG 2 Taurus (GS), 1, -21.11
PG, PG 2 White Ice, 66, -17.27
PG, PG 2.5 Moon Exploration, 73, -21.82
PG, PG 2.5 Racer Blue, 9, -19.09
Kyrie, Kyrie 1 BHM, 46, 25.38
Kyrie, Kyrie 1 Deceptive Red, 46, 50
Kyrie, Kyrie 2 Battle Grey, 16, 6.67
Kyrie, Kyrie 2 Blue Speckle, --, 
Kyrie, Kyrie 2 Christmas, 51, -3.2
Kyrie, Kyrie 2 Ky-Rispy Kreme (Special Box Version 1) (Windowed), 14, 155.62
Kyrie, Kyrie 2 Wet (GS), --, 
Kyrie, Kyrie 2 Wolf Pack, 3, 27.5
Kyrie, Kyrie 3 Aqua, 112, -6.67
Kyrie, Kyrie 3 Black Yellow, 11, -29.17
Kyrie, Kyrie 3 Flip the Switch, 76, 32.5
Kyrie, Kyrie 3 Luck, 6, 1661.67
Kyrie, Kyrie 3 Ray Gun, 10, 1525.83
Kyrie, Kyrie 3 TB Black White, 88, -23.33
Kyrie, Kyrie 4 Dark Obsidian "Think Twice", 217, -36.67
Kyrie, Kyrie 4 Mamba Mentality, 337, -15
Kyrie, Kyrie 4 Red Carpet, 699, 20.83
Kyrie, Kyrie 4 Tiffany (GS), 8, -25
Kyrie, Kyrie 4 Wolf Grey, --, 
Kyrie, Kyrie 5 Concepts Ikhet (Special Box), 1062, 62.14
Kyrie, Kyrie 5 Just Do It, 221, -9.23
Kyrie, Kyrie Low 1 Black Metallic Silver, 8, 4.55
PG, Nike PG 1 EYBL, 50, 194.55
Kyrie, Kyrie 3 Mountain Dew K.A.R.E. Kit, 1, 
Kyrie, Kyrie 3 PK80, 10, 
Kyrie, Kyrie 3 White Chrome, 41, 4.17
Kyrie, Kyrie 4 Cinnamon Toast Crunch (Special Cereal Box Package), 48, 
Kyrie, Kyrie 4 Kix (Special Cereal Box Package), 62, 
Kyrie, Kyrie 4 Lucky Charms (Special Cereal Box Package), 65, 
Kyrie, Kyrie 4 NBA 2K18, 15, 
Kyrie, Kyrie 5 UConn Home PE, --, 
PG, Nike PG 1 BHM, --, 
PG, Nike PG 2 EYBL, 18, 
PG, Nike PG 2 Playstation Pack (F&F), --, 
Kyrie, Kyrie 4 Midnight Navy, 2, -4.17
Kyrie, Kyrie 4 NCAA, 314, 5.83
Kyrie, Kyrie 4 Cinnamon Toast Crunch, 1770, 30
Kyrie, Nike Kyrie S1 Hybrid Black, 31, 88.46
Kyrie, Nike Kyrie S1 Hybrid Blue-Gold, 16, 117.69
Kyrie, Kyrie 2 EYBL Promo, 8, 
PG, Nike PG 1 Black History Month (2018), 12, 
Kyrie, Kyrie 1 Easter (GS), 2, 
Kyrie, Kyrie 1 Rise LTD, 21, 
Kyrie, Kyrie 2 Drew League (Nike ID), 3, 
Kyrie, Kyrie 4 Concepts Yellow Lobster, 13, 
Kyrie, Kyrie 5 Chinese New Year 2019, 87, 
KD, KD 1 Texas, --, 
KD, KD 10 All-Star (2018), --, 
KD, KD 10 Anniversary, 50, 6.67
KD, KD 10 Aunt Pearl, 383, 6.67
KD, KD 10 Aunt Pearl (GS), 115, -33.85
KD, KD 10 Aunt Pearl (PS), 9, -47.78
KD, KD 10 Aunt Pearl (TD), 11, -16.67
KD, KD 10 Black History Month (2018), 193, -11.33
KD, KD 10 Black White, 116, -14.67
KD, KD 10 Black White (GS), 1, 7.69
KD, KD 10 Blackout, 269, -28.67
KD, KD 10 Blackout (GS), 9, -34.4
KD, KD 10 Blinders, 14, 9.33
KD, KD 10 Bred (GS), 4, -39.2
KD, KD 10 Cool Grey Igloo, 90, -37.33
KD, KD 10 Cool Grey Igloo (W), --, 
KD, KD 10 Dark Grey, 19, -32
KD, KD 10 Dark Stucco, 19, -29.33
KD, KD 10 Finals, 70, 73.33
KD, KD 10 Hyper Turquoise, 89, -24
KD, KD 10 Multi-Color, 137, -30
KD, KD 10 NFS, --, 
KD, KD 10 Numbers, 235, -37.33
KD, KD 10 Olive, 18, -18.67
KD, KD 10 Oreo, 73, -11.33
KD, KD 10 Pale Grey, 4, -10
KD, KD 10 Platinum, 76, -30
KD, KD 10 Racer Blue, 4, 0.67
KD, KD 10 Royal Foamposite (GS), 9, -18.4
KD, KD 10 Still KD, 62, -27.33
KD, KD 10 Still KD (SNKRS Exclusive With Pin Set), 5, -37.33
KD, KD 10 University Red, 114, -38
KD, KD 10 University Red (GS), 1, -58.4
KD, KD 10 What the, 58, 186
KD, KD 10 Wolf Grey, 51, -34
KD, KD 11 BHM (2019), 1, 86.67
KD, KD 11 Black Twilight Pulse, 24, -12
KD, KD 11 Black White Racer Blue, 2, 15.33
KD, KD 11 Chinese Zodiac, 17, 8.67
KD, KD 11 Chinese Zodiac (GS), 2, -8
KD, KD 11 Cool Grey, 33, -11.33
KD, KD 11 EP EYBL, 1, 6
KD, KD 11 EYBL, 1075, 29.33
KD, KD 11 EYBL (GS), 40, 2.4
KD, KD 11 Just Do It, 14, -0.67
KD, KD 11 Little Big Cats (TD), 1, 7.69
KD, KD 11 Multi-Color Metallic Gold, 121, -1.33
KD, KD 11 Paranoid, 201, 0
KD, KD 11 Still KD, 127, -8.67
KD, KD 2 All-Star (2010), --, 
KD, KD 2 OKC Away, 1, 11.76
KD, KD 3 All star, 2, 261.36
KD, KD 3 Carbon Fiber, --, 
KD, KD 3 Christmas, 6, 88.64
KD, KD 3 EA Sports, 1, 320.45
KD, KD 3 LS Scoring Title, 2, 80.68
KD, KD 3 Midnight Navy, --, 
KD, KD 3 Mike Miller, --, 
KD, KD 3 OKC Away, 2, -25
KD, KD 3 OKC Home, 1, 69.32
KD, KD 3 Redskins, 6, 73.86
KD, KD 3 TB Black, 1, 95.45
KD, KD 3 TB Black White, --, 
KD, KD 3 TB Green, --, 
KD, KD 3 TB Red, --, 
KD, KD 3 TB Royal, --, 
KD, KD 3 Texas, --, 
KD, KD 3 Wolf Grey Del Sol, 1, -31.82
KD, KD 4 Aunt Pearl, 21, 288.42
KD, KD 4 Black History Month, 13, 165.26
KD, KD 4 Copper (Christmas), 8, 121.05
KD, KD 4 Easter, 22, 128.42
KD, KD 4 Galaxy AS, 40, 281.05
KD, KD 4 Gold Medal, 33, 175.79
KD, KD 4 N7 Black, 4, 86.32
KD, KD 4 N7 White, 6, 118.95
KD, KD 4 Nerf, 7, 778.4
KD, KD 4 Rogue Green (UNDFTD), 7, 107.37
KD, KD 4 Scoring Title, 12, 146.32
KD, KD 4 Texas Longhorns, 13, 121.05
KD, KD 4 Think 16 (Thunderstruck), 943, -7.86
KD, KD 4 USA Olympic, 9, 94.74
KD, KD 4 Weatherman, 10, 477.89
KD, KD 4 Year of the Dragon, 30, 111.58
KD, KD 5 All-Star Area 72, 68, -20
KD, KD 5 Aunt Pearl, 39, 15.56
KD, KD 5 Birch, 7, -34.78
KD, KD 5 Black History Month, 13, -8.89
KD, KD 5 Christmas, 63, -1.74
KD, KD 5 DMV, 32, -23.48
KD, KD 5 Easter, 27, -9.57
KD, KD 5 Elite EYBL, 8, 56.11
KD, KD 5 Elite Playoffs Home, 3, -27.78
KD, KD 5 Elite Superhero, 15, -41.67
KD, KD 5 Elite Team Orange, 5, -46.11
KD, KD 5 Elite+ White Gold, 7, -29
KD, KD 5 Ice Blue, 5, -6.96
KD, KD 5 N7, 17, -20.83
KD, KD 5 Splatter, 23, -23.48
KD, KD 5 What the KD, 2, 207.41
KD, KD 6 Aunt Pearl, 76, 44.67
KD, KD 6 Away, 7, -20.77
KD, KD 6 Away II, 11, -17.69
KD, KD 6 BHM, 39, -2.67
KD, KD 6 Bamboo, 20, -16.92
KD, KD 6 Christmas, 49, -0.77
KD, KD 6 EXT Floral, 66, 14.67
KD, KD 6 EXT Gum, 24, -3.08
KD, KD 6 Easter, 38, -23.08
KD, KD 6 Elite Fragment Royal, 9, 46.36
KD, KD 6 Elite Supremacy, 26, -7.73
KD, KD 6 Elite Team, 8, -33.5
KD, KD 6 Energy, 20, -23.08
KD, KD 6 GS Candy, --, 
KD, KD 6 Home II, 3, -3.85
KD, KD 6 Liger, 33, -2.31
KD, KD 6 Light Crimson DC, 8, 6.15
KD, KD 6 Maryland Blue Crab, 14, 3.85
KD, KD 6 Meteorology, 83, -5.38
KD, KD 6 N7, 31, 18.18
KD, KD 6 NOLA Gumbo League "Illusion", 127, -8
KD, KD 6 NSW Lifestyle Birthday, 1, -58.33
KD, KD 6 NYC 66, 16, -9.23
KD, KD 6 Neutral, 1, -11.54
KD, KD 6 Peanut Butter & Jelly (PBJ), 28, 26.92
KD, KD 6 Precision Timing, 9, 5.38
KD, KD 6 Seat Pleasant, 11, -3.85
KD, KD 6 Supreme D.C. Preheat, 16, 58
KD, KD 6 Texas, 15, -11.54
KD, KD 6 What the KD, 224, 43.33
KD, KD 7 35,000 Degrees, 23, -36
KD, KD 7 All-Star, 44, -39.41
KD, KD 7 Aunt Pearl, 210, 20
KD, KD 7 Aunt Pearl (GS), 23, 22.61
KD, KD 7 BHM 2015, 44, -9.41
KD, KD 7 Calm Before the Storm, 16, -35.33
KD, KD 7 Christmas Eggnog, 35, -20.59
KD, KD 7 EXT Black Suede, 16, -18
KD, KD 7 EXT Floral, 131, -8.5
KD, KD 7 EXT Plaid & Polka Dot, 28, -43.5
KD, KD 7 Easter, 7, -31.33
KD, KD 7 Easy Money, 19, -38
KD, KD 7 Electric Eel, 14, -36.67
KD, KD 7 Elite EYBL, 29, -25
KD, KD 7 Elite Elevate, 6, -71
KD, KD 7 Elite Rose Gold, 6, -47
KD, KD 7 Elite Team Pack, 8, -59
KD, KD 7 Flight, 14, -30
KD, KD 7 Global Game, 62, 2.67
KD, KD 7 Good Apples, 24, -22
KD, KD 7 Hyper Punch (GS), --, 
KD, KD 7 Longhorn State, 27, -44.5
KD, KD 7 N7, 19, -40
KD, KD 7 NSW Challenge Red, 8, 3.48
KD, KD 7 NSW Hazelnut, 5, -15.2
KD, KD 7 NSW Lifestyle Betta, --, 
KD, KD 7 NSW Multi-Color, 4, -43.2
KD, KD 7 OKC Away, 6, -26.67
KD, KD 7 Peanut Butter Jelly (GS), 1, 29.57
KD, KD 7 Texas, 4, -20
KD, KD 7 Uprising, 17, -44
KD, KD 7 Weatherman, 65, -44.67
KD, KD 7 What the KD, 199, -14.5
KD, KD 8 All Star (2016), 16, -33
KD, KD 8 Aunt Pearl, 86, -41
KD, KD 8 Away, 6, -58.33
KD, KD 8 BHM (2016), 10, -42.22
KD, KD 8 Blackout, 7, -40
KD, KD 8 Christmas, 37, -35.56
KD, KD 8 Christmas (GS), 1, -57.14
KD, KD 8 EXT Floral Finish, 20, -47
KD, KD 8 EXT Sail Chrome, 3, -26
KD, KD 8 EXT Vachetta Tan, 16, -60.5
KD, KD 8 EXT Woven Wonder, 12, -31
KD, KD 8 Easter, 14, -47.22
KD, KD 8 Easter 2016 (GS), 5, -56
KD, KD 8 Easy Euro, 3, -70.56
KD, KD 8 Elite Away, 19, -54
KD, KD 8 Elite Home, 2, -51.5
KD, KD 8 Elite Wolf Grey, 16, -55.5
KD, KD 8 Hunt's Hill Night, 25, -50
KD, KD 8 Hunt's Hill Sunrise, 11, -50
KD, KD 8 Independence Day, 7, -40.56
KD, KD 8 Money Ball (GS), --, 
KD, KD 8 N7, 15, -36
KD, KD 8 NSW Lifestyle Metallic Silver, --, 
KD, KD 8 OKC, 4, -38.33
KD, KD 8 Opening Night, 1, -22.22
KD, KD 8 Peanut Butter Jelly PBJ (GS), 1, -67.86
KD, KD 8 Prince George, 16, -48.33
KD, KD 8 Suit, 61, -62.78
KD, KD 8 V8, 22, -60.56
KD, KD 8 Vinary, 11, -63.89
KD, KD 8 Vivid Orange, 2, -52.78
KD, KD 8 What the, 15, -39
KD, KD 9 Aunt Pearl, 56, -42
KD, KD 9 BHM (2017), 14, -21.33
KD, KD 9 Battle Grey, 12, -38
KD, KD 9 Birds of Paradise, 32, -46
KD, KD 9 Black Space, 50, -38.67
KD, KD 9 Black White, 34, -36.67
KD, KD 9 Court Ready, 4, -44.67
KD, KD 9 Elite Dark Grey Hyper Orange, 44, -50
KD, KD 9 Elite Multi-Color, 18, -38.67
KD, KD 9 Elite Wanda, 11, -40.67
KD, KD 9 Fairmount, --, 
KD, KD 9 Fire and Ice (GS), 5, -0.8
KD, KD 9 Game Royal (GS), --, 
KD, KD 9 Gold Medal, 14, -26.67
KD, KD 9 Hard Work, 21, -54.67
KD, KD 9 Home, 14, -40
KD, KD 9 On Court, 26, -57.33
KD, KD 9 Oreo, 11, -2
KD, KD 9 Pre-Heat, 30, -12.67
KD, KD 9 Summer Pack, 27, -41.33
KD, KD 9 Summer Pack (GS), 3, -44
KD, KD 9 Texas, 26, -27.33
KD, KD 9 The Sauce, 11, -32
KD, KD 9 USA, 60, -9.33
KD, KD 9 USA (GS), 40, -44
KD, KD 9 Unlimited, 52, -43.33
KD, KD 9 Varsity Red, 12, -54
KD, KD 9 Wanda (GS), --, 
KD, KD Trey 5 III Black Anthracite, --, 
KD, KD Trey 5 III Childhood, --, 
KD, KD Trey 5 III Rise, --, 
KD, KD Trey 5 III Thumbs Up, --, 
KD, KD Trey 5 IV Crimson, --, 
KD, KD Trey 5 V Anthracite Black, 11, -51.11
KD, KD Trey 5 V Cool Grey, --, 
KD, KD Trey 5 V University Red Black, --, 
KD, KD Trey 5 V Warriors, 7, -40
KD, KD Trey 5 V White Pure Platinum, 4, -44.44
KD, Nike KD 1 OKC Home, --, 
KD, Nike KD 10 Still KD (GS), 4, -33
KD, Nike KD Trey 5 IV Think Pink, 1, -30.43
KD, KD 10 City Edition (GS), 5, -34.4
KD, KD 10 City Series, 130, -31.33
KD, KD 5 Hulk, 4, -24.35
KD, KD 5 Texas, 4, -6.96
KD, KD 5 Thunder Away, 2, -8.18
KD, KD 6 Brazil, 16, -18.46
KD, KD 6 Elite Fragment Chino, 3, -38.64
KD, KD 7 Gold Medal, 30, 8.24
KD, KD 7 Lightning 534, 12, -35.33
KD, KD 7 USA, 30, -17.33
KD, KD 8 Perserverance, 2, -62.5
KD, KD 8 Photo Blue, 15, -51.67
KD, KD 9 Elite Flip the Switch, 8, -21.33
KD, KD 9 Elite Pale Grey, 41, -37.33
KD, KD 9 Elite Pearl Pink, 4, -30
KD, KD 9 Elite Time to Shine, 14, -38.67
KD, KD 11 Multi-Color, 131, -11.33
KD, Nike KD Trey 5 IV White Black Multi-Color, --, 
KD, KD 10 PK80, 4, 
KD, KD 10 Peach Jam, 5, 
KD, KD 11 Scrooge PE, --, 
KD, KD 4 EYBL, --, 
KD, KD 4 Entourage, --, 
KD, KD 5 BHM (GS), --, 
KD, KD 5 Home, 1, 
KD, KD 6 BHM (GS), --, 
KD, KD 6 Elite Gold, 11, 
KD, KD 6 Hero Pack, 4, 
KD, KD 6 Liger (GS), 2, 
KD, KD 6 NSW Birthday, --, 
KD, KD 6 Team, 1, 
KD, KD 7 35,000 Degrees (GS), --, 
KD, KD 7 Clearwater, 10, 
KD, KD 7 NSW White Ice Blue, 1, 
KD, KD 8 Aunt Pearl (GS), 3, 
KD, KD 6 Elite EYBL, 3, 
Kobe, KB Mentality 2 Black Volt Wolf Grey, --, 
Kobe, Kobe 1 2006 All-Star, 10, 79.23
Kobe, Kobe 1 Black Maize, 6, 23.08
Kobe, Kobe 1 Black Mamba, 6, 36.92
Kobe, Kobe 1 Black Mamba Collection Fade to Black, 33, 58.5
Kobe, Kobe 1 Blackout, 3, 90.77
Kobe, Kobe 1 Prelude (81 Points), 57, 161
Kobe, Kobe 1 Protro 81 Pt Game, 131, 6.86
Kobe, Kobe 1 Protro Black Maize, 1417, 30.86
Kobe, Kobe 1 Protro DeMar DeRozan, 27, 316
Kobe, Kobe 1 Protro Devin Booker PE, 34, 340.57
Kobe, Kobe 1 Protro MPLS, 505, -18.29
Kobe, Kobe 1 Protro Mamba Day, 828, 41.71
Kobe, Kobe 1 Protro Think 16 (Close Out), 1751, 9.14
Kobe, Kobe 1 Protro Undefeated Camo, 1806, 139.44
Kobe, Kobe 1 Protro Undefeated Flight Jacket, 20, 2074.44
Kobe, Kobe 1 Protro Undefeated Green Camo (Silver Lake), 218, 111.67
Kobe, Kobe 1 Protro Undefeated Orange Camo (Phoenix), 208, 128.89
Kobe, Kobe 1 Protro Undefeated Red Camo (Santa Monica), 237, 107.22
Kobe, Kobe 1 Protro Undefeated White, 848, 120.56
Kobe, Kobe 1 Protro Undefeated Yellow Camo (La Brea), 253, 331.11
Kobe, Kobe 1 Protro White Black Red, 402, -21.71
Kobe, Kobe 1 Sharpshooter, 1, 64.62
Kobe, Kobe 1 White Shark, 2, 19.23
Kobe, Kobe 10 5AM Flight, 25, -20.56
Kobe, Kobe 10 Blackout, 20, -19.44
Kobe, Kobe 10 Bright Crimson, 12, -41.11
Kobe, Kobe 10 EXT High Black, 2, -23.64
Kobe, Kobe 10 EXT White Gum, 3, -54.22
Kobe, Kobe 10 Easter (GS), --, 
Kobe, Kobe 10 Elite American, 18, -12
Kobe, Kobe 10 Elite Chester, 109, -29
Kobe, Kobe 10 Elite Christmas, 177, 6
Kobe, Kobe 10 Elite Commander, 26, -16.44
Kobe, Kobe 10 Elite Elite High Elevate, 16, 4.44
Kobe, Kobe 10 Elite Elite High Rose Gold Pack, 56, 12.89
Kobe, Kobe 10 Elite Elite High Team Pack, 47, -27.11
Kobe, Kobe 10 Elite Ext White Gum, --, 
Kobe, Kobe 10 Elite HTM Arrowhead, 13, -2.8
Kobe, Kobe 10 Elite HTM Arrowhead EU Exclusive, 1, 44
Kobe, Kobe 10 Elite HTM Oreo, 42, 5.2
Kobe, Kobe 10 Elite HTM Racecar, 18, 10.8
Kobe, Kobe 10 Elite HTM Shark Jaw, 23, 36.4
Kobe, Kobe 10 Elite Low Black Mamba Collection Fade to Black, 35, 13.5
Kobe, Kobe 10 Elite Low Drill Sergeant, 84, -37
Kobe, Kobe 10 Elite Low Opening Night, 43, -26
Kobe, Kobe 10 Elite Mambacurial, 141, -10.5
Kobe, Kobe 10 Elite Opening Night, 18, -22.67
Kobe, Kobe 10 Emerald City, 65, -47.78
Kobe, Kobe 10 Flight, 24, -32.22
Kobe, Kobe 10 Fundamentals, 36, 25.56
Kobe, Kobe 10 Hot Lava, 51, -43.89
Kobe, Kobe 10 Independence Day, 49, -23.33
Kobe, Kobe 10 Pain, 19, -23.89
Kobe, Kobe 10 Peach Jam, 91, -41.11
Kobe, Kobe 10 Silk Road, 10, -36.11
Kobe, Kobe 11 3D, 40, -10.62
Kobe, Kobe 11 Achilles Heel (GS), --, 
Kobe, Kobe 11 Alt Tumbled Grey, 2, -41
Kobe, Kobe 11 Aquamarine, --, 
Kobe, Kobe 11 Brave Blue, 41, -24
Kobe, Kobe 11 Carpe Diem, 35, -22.5
Kobe, Kobe 11 EM Low Barcelona, 75, -16.25
Kobe, Kobe 11 EM Low Black Cool Grey, 29, -20
Kobe, Kobe 11 EM Low Fundamental, 10, 15
Kobe, Kobe 11 EM Low Green Snake (GS), 10, -45.19
Kobe, Kobe 11 EM Low Invisibility Cloak, 48, -20.63
Kobe, Kobe 11 EM Low Mambacurial, 201, -25
