brand, total_sales, type
Adidas, 13, NMD
Adidas, 125, NMD
Adidas, 8, NMD
Adidas, 5, NMD
Adidas, 5, NMD
Adidas, 21, NMD
Adidas, 141, NMD
Adidas, 105, NMD
Adidas, 1482, NMD
Adidas, 2087, NMD
Adidas, 13, NMD
Adidas, 5, NMD
Adidas, 26, NMD
Adidas, 1, NMD
Adidas, 17, NMD
Adidas, 354, NMD
Adidas, 38, NMD
Adidas, 713, NMD
Adidas, 12, NMD
Adidas, 5, NMD
Adidas, 186, NMD
Adidas, 42, NMD
Adidas, 133, NMD
Adidas, 8, NMD
Adidas, 6, NMD
Adidas, 1897, NMD
Adidas, 81, NMD
Adidas, 408, NMD
Adidas, 54, NMD
Adidas, 2, NMD
Adidas, 85, NMD
Adidas, 97, NMD
Adidas, 4, NMD
Adidas, 36, NMD
Adidas, 110, NMD
Adidas, 22, NMD
Adidas, 9, NMD
Adidas, 22, NMD
Adidas, 111, NMD
Adidas, 16, NMD
Adidas, 102, NMD
Adidas, 108, NMD
Adidas, 81, NMD
Adidas, 37, NMD
Adidas, 38, NMD
Adidas, 163, NMD
Adidas, 42, NMD
Adidas, 21, NMD
Adidas, 22, NMD
Adidas, 19, NMD
Adidas, 1, NMD
Adidas, 35, NMD
Adidas, 115, NMD
Adidas, 11, NMD
Adidas, 225, NMD
Adidas, 37, NMD
Adidas, 1, NMD
Adidas, 5, NMD
Adidas, 1, NMD
Adidas, 3, NMD
Adidas, 13, NMD
Adidas, 131, NMD
Adidas, 179, NMD
Adidas, 30, NMD
Adidas, 563, NMD
Adidas, 364, NMD
Adidas, 84, NMD
Adidas, 579, NMD
Adidas, 98, NMD
Adidas, 464, NMD
Adidas, 256, NMD
Adidas, 75, NMD
Adidas, 51, NMD
Adidas, 236, NMD
Adidas, 55, NMD
Adidas, 261, NMD
Adidas, 116, NMD
Adidas, 138, NMD
Adidas, 15, NMD
Adidas, 137, NMD
Adidas, 18, NMD
Adidas, 2946, NMD
Adidas, 37, NMD
Adidas, 776, NMD
Adidas, 761, NMD
Adidas, 138, NMD
Adidas, 62, NMD
Adidas, 351, NMD
Adidas, 35, NMD
Adidas, 22, NMD
Adidas, 163, NMD
Adidas, 149, NMD
