pk, brand, type, name, colorway, image, release_date, retail_price, ticker, total_sales, url, year_high, year_low, avg_sale_price, premium
437, Adidas, Ultraboost, adidas Ultra Boost 1.0 Multi-Color Toe White, White/Multicolor, https://stockx-360.imgix.net/Adidas-Ultra-Boost-1pt0-Multi-Color-Toe-White/Images/Adidas-Ultra-Boost-1pt0-Multi-Color-Toe-White/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546582436, 2018-10-03, 200, ADIULBST-MCTW, 1058, https://www.stockx.com/adidas-ultra-boost-1pt0-multi-color-toe-white, 325, 96, 140, -100
447, Jordan, 1, Jordan 1 Retro High Gatorade Orange Peel, Orange Peel/Orange Peel, https://stockx-360.imgix.net/Air-Jordan-1-Retro-High-Gatorade-Orange-Peel/Images/Air-Jordan-1-Retro-High-Gatorade-Orange-Peel/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1544657510, 2017-12-26, 175, AJ1H-G8RDORNGPL, 1257, https://www.stockx.com/air-jordan-1-retro-high-gatorade-orange-peel, 185, 70, 109, -100
451, Jordan, 1, Jordan 1 Retro High Off-White Chicago, White/Black-Varsity Red, https://stockx-360.imgix.net/air-jordan-1-retro-high-off-white-chicago_TruView/Images/air-jordan-1-retro-high-off-white-chicago_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-09-09, 190, AJ1H-OFFWHTCHI, 1307, https://www.stockx.com/air-jordan-1-retro-high-off-white-chicago, 4189, 1395, 2222, 1000
453, Nike, Foamposite, Air Foamposite Pro Sequoia, Sequoia/Black-Team Orange, https://stockx-360.imgix.net/Nike-Air-Air-Foamposite-Pro-Sequoia/Images/Nike-Air-Air-Foamposite-Pro-Sequoia/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-08-16, 230, FOAMP-SQUA, 972, https://www.stockx.com/nike-air-air-foamposite-pro-sequoia, 266, 80, 163, -100
465, Adidas, Ultraboost, adidas Ultra Boost 4.0 Cookies & Cream 2.0, Core Black/Core Black/Running White, https://stockx.imgix.net/Adidas-Ultra-Boost-4-Cookies-Cream-2.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1538080256, 2018-03-15, 180, AD-UB4CC2, 757, https://www.stockx.com/adidas-ultra-boost-4-cookies-cream-2, 275, 60, 143, -100
501, Adidas, Ultraboost, adidas Ultra Boost 4.0 Cookies and Cream, Footwear White/Footwear White/Grey Two, https://stockx-360.imgix.net/adidas-ultra-boost-4-oreo_TruView/Images/adidas-ultra-boost-4-oreo_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-02-06, 200, ADIULBST4-OREO, 3167, https://www.stockx.com/adidas-ultra-boost-4-oreo, 501, 121, 232, 0
510, Adidas, Yeezy, adidas Yeezy 500 Salt, Salt/Salt/Salt, https://stockx-360.imgix.net/Adidas-Yeezy-500-Salt/Images/Adidas-Yeezy-500-Salt/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1544024798, 2018-11-30, 200, YZY500-SALT, 11219, https://www.stockx.com/adidas-yeezy-500-salt, 5000, 175, 268, 0
543, Adidas, Ultraboost, adidas Ultra Boost 3.0 Triple White, White/White/White, https://stockx-360.imgix.net/Adidas-Ultra-Boost-3pt0-Triple-White/Images/Adidas-Ultra-Boost-3pt0-Triple-White/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546754223, 2016-12-06, 180, AD-UB3TWT, 1043, https://www.stockx.com/adidas-ultra-boost-3pt0-triple-white, 300, 70, 163, -100
653, Adidas, Ultraboost, adidas Ultra Boost 2.0 White Reflective, White/White, https://stockx-360.imgix.net/Adidas-Ultra-Boost-White-Reflective/Images/Adidas-Ultra-Boost-White-Reflective/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546582734, 2016-10-26, 200, ADIULBST-WHT3M, 879, https://www.stockx.com/adidas-ultra-boost-white-reflective, 300, 109, 166, -100
698, Jordan, 11, Jordan 11 Retro Platinum Tint, Platinum Tint/Sail-University Red-Black, https://stockx-360.imgix.net/Air-Jordan-11-Retro-Platinum-Tint/Images/Air-Jordan-11-Retro-Platinum-Tint/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546585303, 2018-10-27, 220, AJ11-PLATTNT, 4716, https://www.stockx.com/air-jordan-11-retro-platinum-tint, 500, 140, 200, -100
