pk, brand, type, name, colorway, image, release_date, retail_price, ticker, total_sales, url, year_high, year_low, avg_sale_price, premium
3750, Nike, Air Force, Air Force 1 Low Just Do It Pack White (GS), White/Total Orange-Black, https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Just-Do-It-Pack-White-GS/Images/Nike-Air-Force-1-Low-Just-Do-It-Pack-White-GS/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-08-02, 85, AF1L-JDIWHTGS, 590, https://www.stockx.com/nike-air-force-1-low-just-do-it-pack-white-gs, 229, 80, 125, 0
3755, Nike, Lebron, LeBron 15 Diamond Turf, White/White-Black, https://stockx.imgix.net/Nike-LeBron-15-Diamond-Turf.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1538080256, 2018-02-03, 200, L15-DMNDTRF, 651, https://www.stockx.com/nike-lebron-15-diamond-turf, 1600, 146, 267, 0
3822, Jordan, 4, Jordan 4 Retro Laser Black Gum, Black/White-Gum Light Brown-University Red, https://stockx-360.imgix.net/Air-Jordan-4-Retro-Laser-Black-Gum/Images/Air-Jordan-4-Retro-Laser-Black-Gum/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1548199274, 2018-01-19, 200, AJ4-LSRBG, 1575, https://www.stockx.com/air-jordan-4-retro-laser-black-gum, 350, 130, 172, -100
3837, Jordan, 13, Jordan 13 Retro Bred (2017), Black/True Red-White, https://stockx-360.imgix.net/Air-Jordan-13-Retro-Bred-2017_TruView/Images/Air-Jordan-13-Retro-Bred-2017_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-08-19, 190, AJ13-BRED17, 1916, https://www.stockx.com/air-jordan-13-retro-playoffs-2017, 295, 80, 188, -100
3858, Nike, Basketball, Kyrie 4 Red Carpet, Red Orbit/Metallic Gold, https://stockx-360.imgix.net/Nike-Kyrie-4-Red-Carpet/Images/Nike-Kyrie-4-Red-Carpet/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-05-01, 120, KYR4-RDCPT, 699, https://www.stockx.com/nike-kyrie-4-red-carpet, 290, 90, 145, 0
3883, Adidas, Ultraboost, adidas Ultra Boost 4.0 Chinese New Year (2018), Core Black/High Res Red/Grey Five, https://stockx-360.imgix.net/Adidas-Ultra-Boost-4-0-Chinese-New-Year-2018/Images/Adidas-Ultra-Boost-4-0-Chinese-New-Year-2018/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1549050205, 2018-01-01, 180, ADIULBST4-CNY18, 618, https://www.stockx.com/adidas-ultra-boost-4-0-chinese-new-year-2018, 399, 100, 211, 0
3969, Nike, Air Max, Air Max 1 Anniversary Royal (2017 Restock Pair), White/Sport Royal-Black, https://stockx-360.imgix.net/Nike-Air-Max-1-Anniversary-Royal-2017-Restock/Images/Nike-Air-Max-1-Anniversary-Royal-2017-Restock/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-10-12, 140, AM1-RYL17PT2, 1047, https://www.stockx.com/nike-air-max-1-anniversary-royal-2017-restock, 276, 115, 190, 0
3970, Jordan, 13, Jordan 13 Retro White Hyper Royal Black, White/Hyper Royal-Black, https://stockx-360.imgix.net/Air-Jordan-13-Retro-White-Hyper-Royal-Black/Images/Air-Jordan-13-Retro-White-Hyper-Royal-Black/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1544832747, 2018-03-03, 190, AJ13-WHTRYLBLK, 2209, https://www.stockx.com/air-jordan-13-retro-white-hyper-royal-black, 299, 102, 202, 0
3983, Nike, Air Max, Air Max 97 White Pure Platinum University Red, Pure Platinum/University Red-White, https://stockx-360.imgix.net/Nike-Air-Max-97-White-Pure-Platinum-University-Red/Images/Nike-Air-Max-97-White-Pure-Platinum-University-Red/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546674502, 2018-08-01, 160, NK-AM97WTPPURS, 588, https://www.stockx.com/nike-air-max-97-white-pure-platinum-university-red, 301, 110, 167, 0
3988, Nike, Air Max, Air VaporMax Moc 2 Acronym Light Bone, Light Bone/Volt-Light Bone, https://stockx-360.imgix.net/nike-air-vapormax-moc-2-acronym-light-bone_TruView/Images/nike-air-vapormax-moc-2-acronym-light-bone_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-03-24, 225, NK-AVMM2ALB, 2393, https://www.stockx.com/nike-air-vapormax-moc-2-acronym-light-bone, 600, 100, 271, 0
4013, Jordan, 16-33, Jordan 18 Retro Black Sport Royal, Black/Metallic Silver-Sport Royal, https://stockx-360.imgix.net/Air-Jordan-18-Retro-Black-Sport-Royal/Images/Air-Jordan-18-Retro-Black-Sport-Royal/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546585547, 2018-10-11, 225, AJ18-BLKSPRTRYL, 762, https://www.stockx.com/air-jordan-18-retro-black-sport-royal, 399, 150, 241, 0
4029, Nike, Air Max, Air VaporMax 2 Volt, Volt/White-Black, https://stockx-360.imgix.net/Nike-Air-VaporMax-2-Volt/Images/Nike-Air-VaporMax-2-Volt/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-07-05, 190, VPRMX2-VOLT, 540, https://www.stockx.com/nike-air-vapormax-2-volt, 354, 85, 187, -100
4067, Jordan, 13, Jordan 13 Retro He Got Game (2018), White/True Red-Black, https://stockx-360.imgix.net/Air-Jordan-13-Retro-He-Got-Game-2018/Images/Air-Jordan-13-Retro-He-Got-Game-2018/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-08-04, 190, AJ13-HGG18, 6035, https://www.stockx.com/air-jordan-13-retro-he-got-game-2018, 325, 145, 210, 0
4079, Nike, Air Max, Air Max 95 ERDL Party White, White/Multi-Color, https://stockx-360.imgix.net/Nike-Air-Max-95-ERDL-Party-White/Images/Nike-Air-Max-95-ERDL-Party-White/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-08-04, 190, NK-AM95ERDLPWT, 635, https://www.stockx.com/nike-air-max-95-erdl-party-white, 295, 120, 175, -100
4082, Jordan, 12, Jordan 12 Retro Bordeaux, Bordeaux/Sail-Metallic Silver, https://stockx.imgix.net/Air-Jordan-12-Retro-Bordeaux.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1538080256, 2017-10-28, 190, AJ12-BRDX, 857, https://www.stockx.com/air-jordan-12-retro-bordeaux, 299, 100, 176, -100
4123, Adidas, NMD, adidas Human Race NMD Pharrell Multi-Color, Noble Ink/Bold Yellow/Footwear White, https://stockx-360.imgix.net/Adidas-Human-Race-Nmd-Pharrell-Multi-Color_TruView/Images/Adidas-Human-Race-Nmd-Pharrell-Multi-Color_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-11-11, 240, HMNRCNMD-MULTI, 1415, https://www.stockx.com/adidas-human-race-nmd-pharrell-multi-color, 500, 190, 327, 0
4186, Jordan, 11, Jordan 11 Retro Win Like 96 (GS), Gym Red/Black-White, https://stockx-360.imgix.net/Air-Jordan-11-Retro-Win-Like-96-GS/Images/Air-Jordan-11-Retro-Win-Like-96-GS/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-12-09, 170, AJ11-REDGS, 980, https://www.stockx.com/air-jordan-11-air-jordan-11-retro-win-like-96-gs, 315, 115, 201, 0
4199, Jordan, 1, Jordan 1 Retro Yin Yang Black, Black/White-Black, https://stockx.imgix.net/Air-Jordan-1-Retro-Yin-Yang-Black.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1538080256, 2016-08-06, 160, AJ1-YYBLK, 1009, https://www.stockx.com/jordan-1-retro-yin-yang-black, 250, 70, 127, -100
4275, Nike, Foamposite, Air Foamposite One Habanero Red, Habanero Red/Habanero Red-Black, https://stockx-360.imgix.net/Nike-Air-Foamposite-One-Habanero-Red/Images/Nike-Air-Foamposite-One-Habanero-Red/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546587142, 2018-10-26, 230, FOAM1-HABRD, 594, https://www.stockx.com/nike-air-foamposite-one-habanero-red, 300, 144, 189, -100
4303, Adidas, Ultraboost, adidas Ultra Boost Mid Kith x Nonnative, Core Black/Core Black/Grey, https://stockx-360.imgix.net/Adidas-Ultra-Boost-Mid-Kith-X-Nonnative/Images/Adidas-Ultra-Boost-Mid-Kith-X-Nonnative/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-11-24, 240, AD-UBMKXN, 823, https://www.stockx.com/adidas-ultra-boost-mid-kith-x-nonnative, 420, 85, 207, -100
4306, Jordan, 1, Jordan 1 Retro Black Toe (2016), White/Varsity Red/Black, https://stockx-360.imgix.net/air-jordan-1-retro-black-toe-2016_TruView/Images/air-jordan-1-retro-black-toe-2016_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2016-11-05, 160, AJ1-BTOE16, 1445, https://www.stockx.com/air-jordan-1-retro-black-toe-2016, 870, 200, 477, 100
4346, Jordan, 1, Jordan 1 Retro High Gold Top 3, Black/Black-Metallic Gold, https://stockx.imgix.net/Air-Jordan-1-Retro-High-Gold-Top-3.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1538080256, 2017-11-04, 160, AJ1H-GLDTOP3, 660, https://www.stockx.com/air-jordan-1-retro-high-gold-top-3, 1250, 280, 463, 100
4355, Jordan, 12, Jordan 12 Retro Flu Game (2016), Black/Varsity Red, https://stockx-360.imgix.net/Air-Jordan-12-Retro-Black-Red-Flu-Game-2016_TruView/Images/Air-Jordan-12-Retro-Black-Red-Flu-Game-2016_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2016-05-28, 190, AJ12-FLU16, 2005, https://www.stockx.com/jordan-12-retro-flu-game-2016, 455, 150, 271, 0
4357, Jordan, 1, Jordan 1 Mid Patent Black White Gold, Black/White-Metallic Gold, https://stockx-360.imgix.net/Air-Jordan-1-Mid-Patent-Black-White-Gold/Images/Air-Jordan-1-Mid-Patent-Black-White-Gold/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1549049980, 2018-12-01, 110, AJ1M-PBWG, 1385, https://www.stockx.com/air-jordan-1-mid-patent-black-white-gold, 256, 101, 167, 0
4361, Nike, Other, Nike Killshot 2 J Crew Sail Midnight Navy, Sail/Midnight Navy-Gum Yellow, https://stockx-360.imgix.net/Nike-Killshot-2-J-Crew-Sail-Midnight-Navy/Images/Nike-Killshot-2-J-Crew-Sail-Midnight-Navy/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-02-25, 90, KLLSHT2-JCREW, 1792, https://www.stockx.com/nike-killshot-2-j-crew-sail-midnight-navy, 239, 80, 124, 0
4383, Jordan, 11, Jordan 11 Retro Legend Blue (2014), White/Black-Legend Blue, https://stockx-360.imgix.net/Air-Jordan-11-Retro-Legend-Blue_TruView/Images/Air-Jordan-11-Retro-Legend-Blue_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2014-12-20, 200, AJ11-LEGEND, 2263, https://www.stockx.com/jordan-11-retro-legend-blue-2014, 399, 204, 266, 0
4425, Jordan, 1, Jordan 1 Retro Shattered Backboard, Black/Starfish-Sail, https://stockx-360.imgix.net/Air-Jordan-1-Retro-Shattered-Backboard_TruView/Images/Air-Jordan-1-Retro-Shattered-Backboard_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2015-06-27, 160, AJ1-SBB, 738, https://www.stockx.com/jordan-1-retro-shattered-backboard, 1050, 450, 771, 300
4470, Nike, Air Max, Air Max 95 OG Neutral Olive Total Orange, String/Total Orange-Neutral Olive, https://stockx-360.imgix.net/Nike-Air-Max-95-OG-Neutral-Olive-Total-Orange/Images/Nike-Air-Max-95-OG-Neutral-Olive-Total-Orange/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-08-16, 160, NK-AM95OGNO-TO, 628, https://www.stockx.com/nike-air-max-95-og-neutral-olive-total-orange, 240, 75, 127, -100
4484, Adidas, Ultraboost, adidas Ultra Boost Clima Black, Carbon/Orchid Tint/Core Black, https://stockx-360.imgix.net/Adidas-Ultra-Boost-Clima-Black/Images/Adidas-Ultra-Boost-Clima-Black/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-04-13, 220, AD-UBC-BK, 1369, https://www.stockx.com/adidas-ultra-boost-clima-black, 389, 90, 191, -100
4485, Jordan, 4, Jordan 4 Retro Levi's Denim (Tag with Levi's Logo), Denim/Denim-Sail-Game Red, https://stockx-360.imgix.net/Air-Jordan-4-Retro-Levis-Denim/Images/Air-Jordan-4-Retro-Levis-Denim/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-01-17, 225, AJ4-LEVISDNM, 788, https://www.stockx.com/air-jordan-4-retro-levis-denim, 1700, 450, 623, 100
4495, Jordan, 3, Jordan 3 Retro Wool, Dark Grey/Dark Grey-Sail, https://stockx-360.imgix.net/air-jordan-3-retro-wool_TruView/Images/air-jordan-3-retro-wool_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1548444847, 2016-12-17, 200, AJ3-WOOL, 573, https://www.stockx.com/air-jordan-3-retro-wool, 250, 60, 119, -100
4508, Jordan, 11, Jordan 11 Retro Low Iridescent, White/Black-Emerald Rise, https://stockx-360.imgix.net/Air-Jordan-11-Retro-Low-Emerald/Images/Air-Jordan-11-Retro-Low-Emerald/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-03-31, 175, AJ11L-IRDSCNT, 3719, https://www.stockx.com/air-jordan-11-retro-low-emerald, 499, 120, 184, 0
4554, Adidas, NMD, adidas Pharrell NMD HU China Pack Peace (Blue), Blue/White, https://stockx-360.imgix.net/Adidas-Pharrell-NMD-HU-China-Pack-Peace-Blue/Images/Adidas-Pharrell-NMD-HU-China-Pack-Peace-Blue/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-05-12, 250, ADINMDHUPW-PCE, 717, https://www.stockx.com/adidas-nmd-hu-china-pack-peace-blue, 999, 235, 445, 0
4563, Jordan, 1, Jordan 1 Retro High Track Red, Summit White/Track Red-Black, https://stockx-360.imgix.net/Air-Jordan-1-Retro-High-6-Rings/Images/Air-Jordan-1-Retro-High-6-Rings/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-05-01, 160, NK-AJ1RH6R, 1457, https://www.stockx.com/air-jordan-1-retro-high-6-rings, 520, 182, 296, 0
4583, Nike, Air Max, Air Max 1 Atmos Animal Pack 2.0 (2018 All Black Box), Wheat/Sport Red-Bison-Classic Green, https://stockx-360.imgix.net/Nike-Air-Max-1-Atmos-Animal-Pack-2-2018-Black-Box/Images/Nike-Air-Max-1-Atmos-Animal-Pack-2-2018-Black-Box/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-03-17, 160, AM1-ANMLPK18BB, 6455, https://www.stockx.com/nike-air-max-1-atmos-animal-pack-2-2018-black-box, 600, 146, 286, 0
4596, Adidas, NMD, adidas NMD R1 Japan Triple White, Footwear White/Footwear White/Footwear White, https://stockx-360.imgix.net/Adidas-NMD-R1-Japan-Triple-White/Images/Adidas-NMD-R1-Japan-Triple-White/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1543952334, 2017-08-11, 180, AD-NMDR1JTWT, 2087, https://www.stockx.com/adidas-nmd-r1-japan-triple-white, 300, 103, 179, -100
4608, Nike, Air Max, Air Max 270 Bowfin Black Desert, Black/Phantom-Desert-Cone, https://stockx-360.imgix.net/Nike-Air-Max-270-Bowfin-Black-Desert/Images/Nike-Air-Max-270-Bowfin-Black-Desert/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1545234360, 2018-09-26, 160, AM270B-BKDSRT, 662, https://www.stockx.com/nike-air-max-270-bowfin-black-desert, 495, 119, 180, 0
4665, Jordan, 16-33, Jordan 17 Retro Low SoleFly Alternate Lightning, Black/Lightening-Metallic Silver, https://stockx.imgix.net/Air-Jordan-17-Retro-Low-SoleFly-Alternate-Lightning.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1538080256, 2018-02-24, 225, NK-AJ17RLSFAL, 622, https://www.stockx.com/air-jordan-17-retro-low-solefly-alternate-lightning, 746, 210, 354, 0
4670, Nike, Air Force, Air Force 1 High PSNY Grey, Matte Silver/Light Bone-Sail-White, https://stockx.imgix.net/Nike-Air-Force-1-High-PSNY-Grey.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1538080256, 2018-09-05, 200, AF1H-PSNYGRY, 504, https://www.stockx.com/nike-air-force-1-high-psny-grey, 358, 130, 245, 0
4682, Jordan, 1, Jordan 1 Retro High Shadow 2018 (GS), Black/Medium Grey-White, https://stockx-360.imgix.net/Air-Jordan-1-Retro-High-Shadow-2018-GS/Images/Air-Jordan-1-Retro-High-Shadow-2018-GS/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-04-14, 120, AJ1H-SHDW18GS, 5030, https://www.stockx.com/air-jordan-1-retro-high-shadow-2018-gs, 300, 80, 155, 0
4712, Jordan, 6, Jordan 6 Retro Maroon (2015), Off White/New Maroon, https://stockx-360.imgix.net/Air-Jordan-6-Retro-Maroon-2015_TruView/Images/Air-Jordan-6-Retro-Maroon-2015_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2015-12-05, 220, AJ6-MROON15, 1097, https://www.stockx.com/jordan-6-retro-maroon-2015, 360, 100, 202, -100
4721, Jordan, 8, Jordan 8 Retro Take Flight "Undefeated", Sequoia/Black-Wolf Grey-Max Orange, https://stockx-360.imgix.net/air-jordan-8-retro-undefeated_TruView/Images/air-jordan-8-retro-undefeated_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-01-28, 190, AJ8-TKFLGHT, 567, https://www.stockx.com/air-jordan-8-retro-undefeated, 280, 100, 183, -100
4749, Nike, Other, Flyknit Trainer White Black (2017), White/Black-White, https://stockx-360.imgix.net/Nike-Flyknit-Trainer-White-Black-2017_TruView/Images/Nike-Flyknit-Trainer-White-Black-2017_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-08-24, 150, NK-FTWTBK17, 573, https://www.stockx.com/nike-flyknit-trainer-white-black-2017, 350, 120, 230, 0
4770, Nike, Lebron, Air Zoom Generation Wheat Retro, Wheat Gold/Wheat Gold-Metallic Gold, https://stockx.imgix.net/Nike-LeBron-1-Air-Zoom-Generation-Wheat-Retro.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1538080256, 2018-02-17, 225, LB1-WHEAT17, 507, https://www.stockx.com/nike-lebron-1-air-zoom-generation-wheat-retro, 274, 75, 166, -100
4772, Jordan, 9, Jordan 9 Retro Bred Patent, Black/University Red-Anthracite, https://stockx-360.imgix.net/Air-Jordan-9-Retro-Bred-Patent/Images/Air-Jordan-9-Retro-Bred-Patent/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-03-10, 190, AJ9-BREDPAT, 5053, https://www.stockx.com/air-jordan-9-retro-bred-patent, 340, 140, 221, 0
4773, Other, Vans, Vans Old Skool NASA Space Voyager Firecracker, Firecracker, https://stockx-360.imgix.net/Vans-Old-Skool-NASA-Space-Voyager-Firecracker/Images/Vans-Old-Skool-NASA-Space-Voyager-Firecracker/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546678495, 2018-11-02, 85, OLSKL-SVFC, 1107, https://www.stockx.com/vans-old-skool-nasa-space-voyager-firecracker, 216, 50, 105, 0
4810, Adidas, Ultraboost, adidas Ultra Boost 4.0 Orca, Core Black/Running White/Carbon, https://stockx.imgix.net/adidas-Ultra-Boost-4-Orca.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1540948667, 2018-11-03, 180, UB4-ORCA, 644, https://www.stockx.com/adidas-ultra-boost-4-orca, 290, 117, 152, -100
4820, Nike, SB, Nike SB Gato Supreme Red, Gym Red/White-Cyber-Gum Light Brown, https://stockx-360.imgix.net/Nike-SB-Gato-Supreme-Red/Images/Nike-SB-Gato-Supreme-Red/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-08-30, 110, SBGTO-SUPRD, 934, https://www.stockx.com/nike-sb-gato-supreme-red, 375, 85, 144, 0
4858, Adidas, Other, adidas Alphaedge 4D White, Footwear White/Grey 2/Core Black, https://stockx-360.imgix.net/Adidas-Alphaedge-4D-White/Images/Adidas-Alphaedge-4D-White/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1543950666, 2018-10-20, 300, AE4D-WH, 1249, https://www.stockx.com/adidas-alphaedge-4d-white, 700, 201, 342, 0
4868, Jordan, 11, Jordan 11 Retro Concord (2018), White/Black-Concord, https://stockx-360.imgix.net/Air-Jordan-11-Retro-Concord-2018/Images/Air-Jordan-11-Retro-Concord-2018/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1544462169, 2018-12-08, 220, AJ11-CNCRD18, 28836, https://www.stockx.com/air-jordan-11-retro-concord-2018, 500, 209, 282, 0
4892, Adidas, Ultraboost, adidas Ultra Boost 3.0 Dark Burgundy, Dark Burgundy/Dark Burgundy/Core Black, https://stockx-360.imgix.net/Adidas-Ultra-Boost-3pt0-Dark-Burgundy/Images/Adidas-Ultra-Boost-3pt0-Dark-Burgundy/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-09-30, 180, AD-UB3DBY, 505, https://www.stockx.com/adidas-ultra-boost-3pt0-dark-burgundy, 200, 90, 136, -100
4899, Nike, Air Max, Air VaporMax Plus Hyper Blue, Black/Chamois-Hyper Blue, https://stockx-360.imgix.net/Nike-Air-VaporMax-Plus-Hyper-Blue/Images/Nike-Air-VaporMax-Plus-Hyper-Blue/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-04-26, 190, NK-AVPHBL, 577, https://www.stockx.com/nike-air-vapormax-plus-hyper-blue, 275, 100, 192, 0
4912, Nike, SB, Nike SB Dunk Low Concepts Purple Lobster (Special Packaging), Voltage Purple/Voltage Purple, https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Concepts-Purple-Lobster-Special-Packaging/Images/Nike-SB-Dunk-Low-Concepts-Purple-Lobster-Special-Packaging/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1545070748, 2018-12-14, 130, SBDNKL-PLSB, 531, https://www.stockx.com/nike-sb-dunk-low-concepts-purple-lobster-special-packaging, 600, 250, 351, 100
4931, Adidas, NMD, adidas NMD R1 Tri Color Stripes Black, Core Black/White, https://stockx-360.imgix.net/adidas-nmd-r1-black-trico-stripes_TruView/Images/adidas-nmd-r1-black-trico-stripes_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1548446703, 2016-12-03, 170, ADINMD-BLKTRICO, 566, https://www.stockx.com/adidas-nmd-r1-black-trico-stripes, 350, 114, 225, 0
4972, Jordan, 1, Jordan 1 Retro High RE2PECT (Derek Jeter), Black/White, https://stockx-360.imgix.net/Air-Jordan-1-Retro-High-RE2PECT-Derek-Jeter/Images/Air-Jordan-1-Retro-High-RE2PECT-Derek-Jeter/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546583574, 2017-11-18, 160, AJ1H-RE2PECTDJ, 1004, https://www.stockx.com/air-jordan-1-retro-high-re2pect-derek-jeter, 402, 101, 189, 0
4984, Nike, Lebron, LeBron 16 1 Thru 5 (What The), Multi-Color/Multi-Color, https://stockx-360.imgix.net/Nike-LeBron-16-What-The/Images/Nike-LeBron-16-What-The/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-09-15, 200, L16-WTTH, 1954, https://www.stockx.com/nike-lebron-16-what-the, 610, 250, 330, 0
4989, Nike, Air Force, Air Force 1 Low Off-White, White/White-Sail, https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Off-White/Images/Nike-Air-Force-1-Low-Off-White/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2017-11-01, 170, AF1L-OFFWHT, 854, https://www.stockx.com/nike-air-force-1-low-off-white, 2200, 581, 995, 400
5027, Jordan, 4, Jordan 4 Retro Pure Money 2017 (GS), White/Metallic Silver-Pure Platinum, https://stockx-360.imgix.net/Air-Jordan-4-Retro-Pure-Money-2017-GS/Images/Air-Jordan-4-Retro-Pure-Money-2017-GS/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546584294, 2017-05-13, 140, AJ4-PURE17GS, 790, https://www.stockx.com/air-jordan-4-retro-pure-money-2017-gs, 250, 60, 150, 0
5074, Nike, Air Max, Air Max 1 Watermelon, Summit White/Kinetic Green-Pure Platinum-Sunset Pulse, https://stockx-360.imgix.net/nike-air-max-1-watermelon_TruView/Images/nike-air-max-1-watermelon_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1548140120, 2018-03-20, 110, AM1-WTRMLN, 1360, https://www.stockx.com/nike-air-max-1-watermelon, 270, 85, 131, 0
5083, Jordan, 12, Jordan 12 Retro Gym Red (2018), Gym Red/Black-Gym Red, https://stockx-360.imgix.net/Air-Jordan-12-Retro-Gym-Red-2018/Images/Air-Jordan-12-Retro-Gym-Red-2018/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546585367, 2018-11-24, 190, AJ12-GMRD, 3962, https://www.stockx.com/air-jordan-12-retro-gym-red-2018, 350, 130, 193, 0
5140, Nike, Basketball, Air Fear Of God 1 Light Bone, Light Bone/Bone, https://stockx-360.imgix.net/Nike-Air-Fear-Of-God-1-Light-Bone/Images/Nike-Air-Fear-Of-God-1-Light-Bone/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1543943377, 2019-01-19, 395, FOG1-LTBN, 1588, https://www.stockx.com/nike-air-fear-of-god-1-light-bone, 4000, 550, 894, 100
5146, Jordan, 1, Jordan 1 Mid White Black, White/Black-White, https://stockx-360.imgix.net/Air-Jordan-1-Mid-White-Black/Images/Air-Jordan-1-Mid-White-Black/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1546583315, 2018-11-01, 110, AJ1M-WHTBK, 2802, https://www.stockx.com/air-jordan-1-mid-white-black, 294, 65, 129, 0
5166, Nike, Air Force, Air Force 1 Low CLOT 1WORLD (2018), White/White-White, https://stockx-360.imgix.net/Nike-Air-Force-1-Low-CLOT-1WORLD-2018/Images/Nike-Air-Force-1-Low-CLOT-1WORLD-2018/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-02-01, 200, NK-AF1LC1W-18, 1718, https://www.stockx.com/nike-air-force-1-low-clot-1world-2018, 1200, 150, 377, 0
