brand, type, premium, total_sales, avg_sale_price
Nike, Air Force, 55.56, 1, 140
Nike, Air Force, 31, 29, 131
Nike, Air Force, -39, 15, 61
Nike, Air Force, 138.67, 9, 1074
Nike, Air Force, 214, 4, 1413
Nike, Air Force, 255.56, 1, 1600
Nike, Air Force, -25.33, 15, 112
Nike, Air Force, 11.11, 2, 100
Nike, Air Force, 11.11, 1, 100
Nike, Air Force, -52.5, 19, 950
Nike, Air Force, 98.67, 6, 298
Nike, Air Force, 29.63, 2, 175
Nike, Air Force, 85.93, 14, 251
Nike, Air Force, -10, 1, 90
Nike, Air Force, 5.56, 4, 95
Nike, Air Force, 55.76, 1522, 257
Nike, Air Force, -29, 1, 71
Nike, Air Force, -23, 48, 77
Nike, Air Force, -26, 101, 74
Nike, Air Force, -4.57, 12, 167
Nike, Air Force, 39.77, 20, 123
Nike, Air Force, 1.6, 21, 127
Nike, Air Force, 66.67, 1, 125
Nike, Air Force, 30, 192, 117
Nike, Air Force, -16.92, 1284, 108
Nike, Air Force, 42.14, 18, 199
Nike, Air Force, -26, 15, 74
Nike, Air Force, -53, 1, 47
Nike, Air Force, 121.11, 2, 199
Nike, Air Force, 1.54, 16, 132
Nike, Air Force, -10, 348, 108
Nike, Air Force, -19.17, 299, 97
Nike, Air Force, 22, 55, 122
Nike, Air Force, -12.5, 15, 140
Nike, Air Force, 21.76, 7, 207
Nike, Air Force, -46.25, 68, 86
Nike, Air Force, -2.5, 6, 117
Nike, Air Force, -41.05, 23, 112
Nike, Air Force, -3.33, 6, 116
Nike, Air Force, -20, 14, 80
Nike, Air Force, 88, 2, 188
Nike, Air Force, 56.3, 12, 211
Nike, Air Force, 62, 3, 243
Nike, Air Force, -45.38, 578, 71
Nike, Air Force, -44.44, 1, 75
Nike, Air Force, 3.2, 2, 129
Nike, Air Force, -0.77, 3, 129
Nike, Air Force, 18.89, 12, 107
Nike, Air Force, 50, 49, 150
Nike, Air Force, 100, 1, 190
Nike, Air Force, -25, 4, 60
Nike, Air Force, -16.15, 24, 109
Nike, Air Force, 4.62, 11, 136
Nike, Air Force, 33, 16, 133
Nike, Air Force, 19, 12, 119
Nike, Air Force, 0, 2, 100
Nike, Air Force, 51.85, 2, 205
Nike, Air Force, 5.93, 11, 143
Nike, Air Force, 2.67, 6, 154
Nike, Air Force, 0, 648, 150
Nike, Air Force, 40, 1, 700
Nike, Air Force, -3.85, 1, 125
Nike, Air Force, 0.77, 34, 131
Nike, Air Force, -2, 161, 98
Nike, Air Force, -7.06, 1, 79
Nike, Air Force, -9, 134, 91
Nike, Air Force, 16.47, 50, 99
Nike, Air Force, 10, 1027, 143
Nike, Air Force, -3.08, 71, 126
Nike, Air Force, 47.06, 590, 125
Nike, Air Force, 12, 64, 112
Nike, Air Force, -44.44, 1, 50
