brand, total_sales, type
Jordan, 208, 1
Jordan, 679, 1
Jordan, 13, 1
Jordan, 220, 1
Jordan, 11, 1
Jordan, 16, 1
Jordan, 50, 1
Jordan, 26337, 1
Jordan, 1076, 1
Jordan, 40, 1
Jordan, 183, 1
Jordan, 80, 1
Jordan, 1, 1
Jordan, 6, 1
Jordan, 480, 1
Jordan, 10, 1
Jordan, 4, 1
Jordan, 12, 1
Jordan, 71, 1
Jordan, 11973, 1
Jordan, 7776, 1
Jordan, 4083, 1
Jordan, 18, 1
Jordan, 25, 1
Jordan, 4, 1
Jordan, 568, 1
Jordan, 42, 1
Jordan, 463, 1
Jordan, 19, 1
Jordan, 1287, 1
Jordan, 571, 1
Jordan, 18644, 1
Jordan, 1306, 1
Jordan, 197, 1
Jordan, 69, 1
Jordan, 1491, 1
Jordan, 11, 1
Jordan, 19144, 1
Jordan, 2171, 1
Jordan, 13, 1
Jordan, 58, 1
Jordan, 1004, 1
Jordan, 178, 1
Jordan, 102, 1
Jordan, 167, 1
Jordan, 19753, 1
Jordan, 398, 1
Jordan, 1, Westbrook
Jordan, 78, 1
Jordan, 12099, 1
Jordan, 116, 1
Jordan, 124, 1
Jordan, 78, 1
Jordan, 77, 1
Jordan, 50, 1
Jordan, 93, 1
Jordan, 77, 1
Jordan, 125, 1
Jordan, 52, 1
Jordan, 136, 1
Jordan, 25973, 1
Jordan, 5030, 1
Jordan, 195, 1
Jordan, 416, 1
Jordan, 23, 1
Jordan, 26, 1
Jordan, 34, 1
Jordan, 202, 1
Jordan, 22, 1
Jordan, 15200, 1
Jordan, 7819, 1
Jordan, 10617, 1
Jordan, 3780, 1
Jordan, 7, 1
Jordan, 101, 1
Jordan, 14, 1
Jordan, 59, 1
Jordan, 15, 1
Jordan, 3, 1
Jordan, 43, 1
Jordan, 58, 1
Jordan, 1, 1
Jordan, 41, 1
Jordan, 958, 1
Jordan, 1457, 1
Jordan, 47, 1
Jordan, 53, 1
Jordan, 2, 1
Jordan, 216, 1
Jordan, 1, 1
Jordan, 4252, 1
Jordan, 3521, 1
Jordan, 86, 1
Jordan, 106, 1
Jordan, 1352, 1
Jordan, 234, 1
Jordan, 25, 1
Jordan, 1092, 1
Jordan, 2112, 1
Jordan, 511, 1
Jordan, 422, 1
Jordan, 295, 1
Jordan, 20, 1
Jordan, 115, 1
Jordan, 1, 1
Jordan, 8, 1
Jordan, 40, 1
Jordan, 71, 1
Jordan, 4, 1
Jordan, 144, 1
Jordan, 17, 1
Jordan, 70, 1
Jordan, 4, 1
Jordan, 3, 1
Jordan, 2, 1
Jordan, 7, 1
Jordan, 6, 1
Jordan, 82, 1
Jordan, 2, 1
Jordan, 106, 1
Jordan, 22, 1
Jordan, 1, 1
Jordan, 113, 1
Jordan, 98, 1
Jordan, 102, 1
Jordan, 147, 1
Jordan, 23, 1
Jordan, 2, 1
Jordan, 21, 1
Jordan, 13, 1
Jordan, 16, 1
Jordan, 15, 1
Jordan, 7, 1
Jordan, 228, 1
Jordan, 1, 1
Jordan, 3, 1
Jordan, 238, 1
Jordan, 25, 1
Jordan, 227, 1
Jordan, 14, 1
Jordan, 2, 1
Jordan, 96, 1
Jordan, 8, 1
Jordan, 3, 1
Jordan, 20, 1
Jordan, 4, 1
Jordan, 5, 1
Jordan, 308, 1
Jordan, 5, 1
Jordan, 6, 1
Jordan, 9, 1
Jordan, 1, 1
Jordan, 5, 1
Jordan, 7, 1
Jordan, 1, 1
Jordan, 1, 1
Jordan, 4, 1
Jordan, 2, 1
Jordan, 3, 1
Jordan, 7, 1
Jordan, 4, 1
Jordan, 54, 1
Jordan, 108, 1
Jordan, 221, 1
Jordan, 97, 1
Jordan, 226, 1
Jordan, 57, 1
Jordan, 3, 1
Jordan, 17, 1
Jordan, 12, 1
Jordan, 18, 1
Jordan, 29, 1
Jordan, 1, 1
Jordan, 6, 1
Jordan, 5, 1
Jordan, 83, 1
Jordan, 8, 1
Jordan, 220, 1
Jordan, 533, 1
Jordan, 233, 1
Jordan, 1340, 1
Jordan, 34, 1
Jordan, 31, 1
Jordan, 63, 1
Jordan, 90, 1
Jordan, 3, 1
Jordan, 356, 1
Jordan, 1, 1
Jordan, 6, 1
Jordan, 63, 1
Jordan, 20, 1
Jordan, 84, 1
Jordan, 26, 1
Jordan, 158, 1
Jordan, 2, 1
Jordan, 3, 1
Jordan, 1, 1
Jordan, 26, 1
Jordan, 1, 1
Jordan, 47, 1
Jordan, 19, 1
Jordan, 16, 1
Jordan, 1, 1
Jordan, 810, 1
Jordan, 120, 1
Jordan, 94, 1
Jordan, 98, 1
Jordan, 21, 1
Jordan, 6, 1
Jordan, 90, 1
Jordan, 24, 1
Jordan, 40, 1
Jordan, 1, 1
Jordan, 26, 1
Jordan, 20, 1
Jordan, 358, 1
Jordan, 46, 1
Jordan, 23, 1
Jordan, 70, 1
Jordan, 26, 1
Jordan, 31, 1
Jordan, 44, 1
Jordan, 158, 1
Jordan, 40, 1
Jordan, 4, 1
Jordan, 120, 1
Jordan, 10, 1
Jordan, 7, 1
Jordan, 70, 1
Jordan, 19, 1
Jordan, 19, 1
Jordan, 26, 1
Jordan, 8, 1
Jordan, 20, 1
Jordan, 12, 1
Jordan, 179, 1
Jordan, 103, 1
Jordan, 82, 1
Jordan, 144, 1
Jordan, 8, 1
Jordan, 39, 1
Jordan, 15, 1
Jordan, 10, 1
Jordan, 16, 1
Jordan, 17, 1
Jordan, 42, 1
Jordan, 66, 1
Jordan, 230, 1
Jordan, 76, 1
Jordan, 151, 1
Jordan, 357, 1
Jordan, 67, 1
Jordan, 662, 1
Jordan, 136, 1
Jordan, 5396, 1
Jordan, 992, 1
Jordan, 97, Westbrook
Jordan, 3, 1
Jordan, 34, 1
Jordan, 55, 1
Jordan, 28, 1
Jordan, 183, 1
Jordan, 119, 1
Jordan, 2, 1
Jordan, 738, 1
Jordan, 57, 1
Jordan, 86, 1
Jordan, 9, 1
Jordan, 544, 1
