type, name, retail_price, total_sales, avg_sale_price, premium
Air Max, Air Max 95 Cool Grey Total Orange, 160, 18, 114, -28.75
Air Max, Air Max 95 Desert, 170, 42, 117, -31.18
Air Max, Air Max 95 ERDL Party Black, 190, 927, 192, 1.05
Air Max, Air Max 95 ERDL Party White, 190, 635, 175, -7.89
Air Max, Air Max 95 Exotic Skins, 170, 31, 118, -30.59
Air Max, Air Max 95 Frequency Pack, 170, 77, 140, -17.65
Air Max, Air Max 95 Grey Rainforest Bright Mango, 170, 10, 121, -28.82
Air Max, Air Max 95 Jacket Pack, 170, 62, 131, -22.94
Air Max, Air Max 95 Just Do It Pack Orange, 170, 193, 168, -1.18
Air Max, Air Max 95 LA vs. NYC, 170, 148, 157, -7.65
Air Max, Air Max 95 LV8 Black, 170, 29, 122, -28.24
Air Max, Air Max 95 LV8 White, 170, 18, 118, -30.59
Air Max, Air Max 95 Light Bone Sport Turqoise, 160, 42, 100, -37.5
Air Max, Air Max 95 NS Big Logo Neon, 180, 13, 75, -58.33
Air Max, Air Max 95 OG Black Anthracite, 160, 35, 135, -15.62
Air Max, Air Max 95 OG Black Metallic Gold White, 160, 252, 124, -22.5
Air Max, Air Max 95 OG Crystal Blue, 180, 74, 173, -3.89
Air Max, Air Max 95 OG Neon (2015), 170, 162, 310, 82.35
Air Max, Air Max 95 OG Neutral Olive Total Orange, 160, 628, 127, -20.63
Air Max, Air Max 95 Overbranding Total Orange, 170, 18, 132, -22.35
Air Max, Air Max 95 Pull Tab Red, 170, 91, 134, -21.18
Air Max, Air Max 95 Pure Platinum (W), 170, 9, 107, -37.06
Air Max, Air Max 95 Pure Platinum Gunsmoke (GS), 100, 4, 63, -37
Air Max, Air Max 95 Rebel Skulls, 165, 48, 138, -16.36
Air Max, Air Max 95 Reverse Stash, 160, 68, 125, -21.88
Air Max, Air Max 95 Reverse Volt, 170, 76, 140, -17.65
Air Max, Air Max 95 Safari Black Infrared, 180, 11, 126, -30
Air Max, Air Max 95 Sail Obsidian, 160, 35, 125, -21.88
Air Max, Air Max 95 Satin Lime (W), 170, 1, 85, -50
Air Max, Air Max 95 Satin Terry (W), 170, 5, 112, -34.12
Air Max, Air Max 95 Size UK Safari (2018), 175, 123, 153, -12.57
Air Max, Air Max 95 Sneakerboot Anthracite Volt, 200, 24, 159, -20.5
Air Max, Air Max 95 Sneakerboot Triple Black, 200, 9, 115, -42.5
Air Max, Air Max 95 Stussy Olive, 200, 10, 244, 22
Air Max, Air Max 95 Triple White (W), 160, 7, 144, -10
Air Max, Air Max 95 USA (2018), 170, 73, 111, -34.71
Air Max, Air Max 95 Ultra Wolf Grey Red Crush, 170, 13, 169, -0.59
Air Max, Air Max 95 Ultramarine, 160, 106, 113, -29.37
Air Max, Air Max 95 Ultramarine Platinum, 160, 21, 132, -17.5
Air Max, Air Max 95 Vintage Wine, 170, 38, 137, -19.41
Air Max, Air Max 95 Wheat, 170, 18, 112, -34.12
Air Max, Air Max 95 Wolf Grey Grape, 160, 248, 117, -26.88
Air Max, Air Max 95 Wolf Grey Persian Violet, 160, 77, 118, -26.25
Air Max, Air Max 95 Wool Sequoia, 170, 13, 90, -47.06
Air Max, Air Max 97 BW Deep Royal Blue Black University Red, 170, 28, 115, -32.35
Air Max, Air Max 97 BW Metallic Gold University Red Black, 170, 28, 120, -29.41
Air Max, Air Max 97 Black White, 160, 488, 159, -0.62
Air Max, Air Max 97 Bordeaux (W), 170, 15, 145, -14.71
Air Max, Air Max 97 Bright Citron, 170, 94, 148, -12.94
Air Max, Air Max 97 Bronze, 160, 226, 151, -5.63
Air Max, Air Max 97 Camo Black Cool Grey (W), 170, 6, 124, -27.06
Air Max, Air Max 97 Cool Grey Baroque Brown, 170, 26, 145, -14.71
Air Max, Air Max 97 Cool Grey Night Maroon, 160, 13, 116, -27.5
Air Max, Air Max 97 Corduroy White (W), 170, 346, 185, 8.82
Air Max, Air Max 97 Country Camo (France), 180, 283, 185, 2.78
Air Max, Air Max 97 Country Camo (Italy), 180, 277, 185, 2.78
Air Max, Air Max 97 Country Camo (UK), 180, 214, 207, 15
Air Max, Air Max 97 Cristiano Ronaldo Portugal Patchwork, 170, 1596, 293, 72.35
Air Max, Air Max 97 Cristiano Ronaldo Portugal Patchwork (GS), 155, 225, 217, 40
Air Max, Air Max 97 Desert Sky, 170, 373, 211, 24.12
Air Max, Air Max 97 Game Royal Metallic Silver University Red, 160, 4, 153, -4.37
Air Max, Air Max 97 I-95 Pack, 160, 62, 141, -11.88
Air Max, Air Max 97 Jacket Pack, 170, 353, 175, 2.94
Air Max, Air Max 97 Light Blue, 160, 127, 149, -6.87
Air Max, Air Max 97 Light Taupe Geode Teal Team Red, 170, 22, 115, -32.35
Air Max, Air Max 97 Mahogany Mink, 170, 26, 140, -17.65
Air Max, Air Max 97 Metallic Gold, 160, 4101, 184, 15
Air Max, Air Max 97 Metallic Gold (W), 160, 662, 170, 6.25
Air Max, Air Max 97 Miami Vice, 180, 79, 143, -20.56
Air Max, Air Max 97 Midnight Navy Habanero Red, 160, 199, 142, -11.25
Air Max, Air Max 97 Midnight Navy Habanero Red (GS), 150, 11, 141, -6
Air Max, Air Max 97 OG Black Volt, 160, 479, 216, 35
Air Max, Air Max 97 OG Royal Neon, 160, 208, 160, 0
Air Max, Air Max 97 Off-White, 190, 969, 811, 326.84
Air Max, Air Max 97 Off-White Black, 190, 1288, 673, 254.21
Air Max, Air Max 97 Off-White Elemental Rose Serena "Queen", 190, 954, 908, 377.89
Air Max, Air Max 97 Overbranding Black, 170, 107, 144, -15.29
Air Max, Air Max 97 Overbranding Blue Hero, 170, 295, 159, -6.47
Air Max, Air Max 97 Paint Splatter, 170, 455, 164, -3.53
Air Max, Air Max 97 Particle Beige, 170, 133, 220, 29.41
Air Max, Air Max 97 Plaid Light Cream, 170, 159, 148, -12.94
Air Max, Air Max 97 Plus Black White, 175, 141, 126, -28
Air Max, Air Max 97 Plus Light Orewood Brown, 175, 101, 140, -20
Air Max, Air Max 97 Pull Tab Obsidian White, 170, 740, 168, -1.18
Air Max, Air Max 97 Rainforest Team Orange, 160, 135, 124, -22.5
Air Max, Air Max 97 Reflective Logo Cream, 170, 109, 189, 11.18
Air Max, Air Max 97 Silver Black, 180, 522, 144, -20
Air Max, Air Max 97 Silver Bullet 2016-2017 (GS), 150, 306, 228, 52
Air Max, Air Max 97 Silver Bullet 2016-2017 (W), 175, 353, 238, 36
Air Max, Air Max 97 Silver White, 180, 778, 138, -23.33
Air Max, Air Max 97 Smokey Mauve, 160, 610, 218, 36.25
Air Max, Air Max 97 South Beach, 160, 2252, 199, 24.37
Air Max, Air Max 97 South Beach (GS), 150, 338, 168, 12
Air Max, Air Max 97 Summit White, 170, 92, 214, 25.88
Air Max, Air Max 97 Summit White (W), 170, 43, 160, -5.88
Air Max, Air Max 97 Tartan Black (W), 180, 67, 189, 5
Air Max, Air Max 97 Tiger Camo Olive, 170, 107, 132, -22.35
Air Max, Air Max 97 UNDFTD Black, 180, 796, 480, 166.67
Air Max, Air Max 97 UNDFTD White, 180, 463, 526, 192.22
Air Max, Air Max 97 Ultra 17 Black White, 160, 12, 131, -18.13
Air Max, Air Max 97 Ultra 17 Digi Camo Olive, 170, 2, 133, -21.76
Air Max, Air Max 97 Ultra 17 Sepia Stone, 160, 24, 122, -23.75
Air Max, Air Max 97 Ultra 17 Silver Bullet, 160, 72, 198, 23.75
Air Max, Air Max 97 Ultra 17 Skepta, 180, 408, 273, 51.67
Air Max, Air Max 97 Ultra 17 Team Red, 160, 34, 108, -32.5
Air Max, Air Max 97 Ultra 17 Triple Black, 160, 242, 207, 29.37
Air Max, Air Max 97 Ultra 17 Triple White (W), 160, 23, 217, 35.62
Air Max, Air Max 97 Ultra 17 Volt Mica Green, 160, 21, 120, -25
Air Max, Air Max 97 Vast Grey Metallic Gold (W), 170, 13, 145, -14.71
Air Max, Air Max 97 Velvet Brown Gridiron, 170, 23, 114, -32.94
Air Max, Air Max 97 Vintage Coral (W), 160, 44, 218, 36.25
Air Max, Air Max 97 White Black Persian Violet (GS), 150, 3, 114, -24
Air Max, Air Max 97 White Pure Platinum University Red, 160, 588, 167, 4.37
Air Max, Air Max 97 White Wolf Grey, 160, 1182, 180, 12.5
Air Max, Air Max 97 Wild West, 180, 6, 226, 25.56
Air Max, Air Max 97-BW Metallic Silver Persian Violet, 190, 271, 112, -41.05
Air Max, Air Max 98 AOP Camo, 160, 91, 156, -2.5
Air Max, Air Max 98 Barely Rose (W), 160, 113, 123, -23.12
Air Max, Air Max 98 Camo Classic, 180, 172, 124, -31.11
Air Max, Air Max 98 Cone, 180, 2567, 225, 25
Air Max, Air Max 98 Floral Sequoia (W), 180, 100, 122, -32.22
Air Max, Air Max 98 Fossil (W), 160, 209, 236, 47.5
Air Max, Air Max 98 Gundam (2018), 160, 1565, 280, 75
Air Max, Air Max 98 New York, 160, 10, 198, 23.75
Air Max, Air Max 98 Radiant Emerald (W), 160, 182, 119, -25.62
Air Max, Air Max 98 Supreme Black, 175, 107, 373, 113.14
Air Max, Air Max 98 Supreme Snakeskin, 175, 120, 571, 226.29
Air Max, Air Max 98 Thunder Blue, 160, 192, 159, -0.62
Air Max, Air Max 98 Tidal Wave, 160, 1163, 182, 13.75
Air Max, Air Max 98 Triple Red, 160, 221, 157, -1.88
Air Max, Air Max 98 University Red White, 160, 66, 146, -8.75
Air Max, Air Max 98 White Black Racer Blue, 160, 320, 136, -15
Air Max, Air Max 98 White Reflect Silver (W), 170, 67, 152, -10.59
Air Max, Air Max 98 Wolf Grey Total Crimson, 160, 204, 136, -15
Air Max, Air Max Deluxe Black Midnight Navy, 180, 15, 110, -38.89
Air Max, Air Max Deluxe Black Volt Habanero Red, 180, 24, 137, -23.89
Air Max, Air Max Deluxe Blue Force, 180, 36, 118, -34.44
Air Max, Air Max Deluxe Midnight Navy Laser Orange, 180, 284, 168, -6.67
Air Max, Air Max Deluxe Photo Blue Orange Peel, 180, 599, 183, 1.67
Air Max, Air Max Deluxe Skepta, 190, 1264, 195, 2.63
Air Max, Air Max Deluxe Thunder Blue Photo Blue, 180, 52, 112, -37.78
Air Max, Air Max Deluxe Triple Black, 200, 314, 155, -22.5
Air Max, Air Max Dia Aviator Grey (W), 120, 7, 126, 5
Air Max, Air Max Dia Flash Crimson (W), 120, 16, 133, 10.83
Air Max, Air Max Flair Triple White, 120, 2, 90, -25
Air Max, Air Max Goadome Tawny, 180, 3, 127, -29.44
Air Max, Air Max Jewell Metallic Gold (W), 110, 2, 110, 0
Air Max, Air Max LD Zero Black Dark Grey, 210, 3, 71, -66.19
Air Max, Air Max LD Zero Hiroshi Fujiwara, 210, 57, 194, -7.62
Air Max, Air Max LD Zero Pure Platinum, 180, 17, 93, -48.33
Air Max, Air Max LTD 3 Cool Grey, 120, 6, 92, -23.33
Air Max, Air Max Lunar90 SP Moon Landing, 145, 64, 632, 335.86
Air Max, Air Max Plus 97 Light Orewood Brown, 160, 231, 169, 5.62
Air Max, Air Max Plus 97 Miami Away, 170, 59, 192, 12.94
Air Max, Air Max Plus Alternate Galaxy, 160, 140, 168, 5
Air Max, Air Max Plus Black Volt Glow, 150, 57, 140, -6.67
Air Max, Air Max Plus Frequency Pack, 160, 130, 151, -5.63
Air Max, Air Max Plus Gradient Pack (Total Crimson), 150, 10, 112, -25.33
Air Max, Air Max Plus Greedy, 170, 77, 163, -4.12
Air Max, Air Max Plus Just Do It Pack Orange (W), 160, 33, 170, 6.25
Air Max, Air Max Plus Light Bone, 175, 23, 133, -24
Air Max, Air Max Plus Metallic Gold, 150, 46, 192, 28
Air Max, Air Max Plus Metallic Gold (2018), 160, 305, 163, 1.88
Air Max, Air Max Plus NIC, 180, 415, 180, 0
Air Max, Air Max Plus NS Big Logo Black, 175, 28, 98, -44
Air Max, Air Max Plus OG Hyper Blue (2018), 160, 295, 175, 9.38
Air Max, Air Max Plus OG Pimento (2018), 160, 163, 155, -3.12
Air Max, Air Max Plus OG Voltage Purple, 160, 50, 148, -7.5
Air Max, Air Max Plus Overbranding Black, 160, 3, 172, 7.5
Air Max, Air Max Plus Overbranding Lime Blast, 160, 2, 168, 5
Air Max, Air Max Plus Scream Green, 150, 18, 158, 5.33
Air Max, Air Max Plus Shark (White), 160, 17, 129, -19.37
Air Max, Air Max Plus Silver Bullet, 150, 45, 216, 44
Air Max, Air Max Plus TN Bordeaux (W), 160, 1, 125, -21.88
Air Max, Air Max Plus TN Ultra Bright Cactus, 160, 11, 119, -25.62
Air Max, Air Max Plus TN Ultra Hyper Blue, 170, 9, 207, 21.76
Air Max, Air Max Plus Tartan Black (W), 170, 99, 187, 10
Air Max, Air Max Plus Team Orange Neptune Green, 160, 8, 157, -1.88
Air Max, Air Max Plus University Red Pure Platinum, 150, 20, 177, 18
Air Max, Air Max Plus Velvet Particle Rose (W), 160, 9, 139, -13.12
Air Max, Air Max Prime Black Volt, 110, 3, 80, -27.27
Air Max, Air Max Prime White Turbo Green, 110, 15, 68, -38.18
Air Max, Air Max Sequent 2 Dark Raisin (W), 100, 1, 50, -50
Air Max, Air Max Thea Dusty Peach (W), 130, 2, 60, -53.85
Air Max, Air Max Thea Ultra Flyknit Doernbecher 2017 (GS), 120, 8, 59, -50.83
Air Max, Air Max Thea Ultra Flyknit Doernbecher 2017 (W), 160, 15, 82, -48.75
Air Max, Air Max Ultra Mark Parker, 200, 32, 99, -50.5
Air Max, Air Max Uptempo 97 University Blue, 160, 45, 86, -46.25
Air Max, Air Max Zero Black Dark Grey, 150, 30, 88, -41.33
Air Max, Air Max Zero Cool Grey, 150, 11, 74, -50.67
Air Max, Air Max Zero Doernbecher, 150, 38, 129, -14
Air Max, Air Max Zero Metallic Gold, 150, 62, 108, -28
Air Max, Air Max Zero Metallic Gold (W), 150, 4, 96, -36
Air Max, Air Max Zero Midnight Navy Black, 150, 13, 72, -52
Air Max, Air Max Zero Persian Violet, 150, 33, 61, -59.33
Air Max, Air Max Zero Pure Platinum Grey, 150, 6, 55, -63.33
Air Max, Air Max Zero Silver Bullet (W), 150, 1, 100, -33.33
Air Max, Air Max Zero Tinker Sketch, 150, 116, 119, -20.67
Air Max, Air Max Zero Triple Black, 150, 31, 76, -49.33
Air Max, Air Max Zero Velvet Brown, 150, 2, 70, -53.33
Air Max, Air Max Zero Wolf Grey Racer Pink (GS), 115, 3, 56, -51.3
Air Max, Air Max2 Light University Gold Flash Crimson, 140, 36, 155, 10.71
Air Max, Air VaporMax 2 Animal Pack Zebra, 190, 40, 225, 18.42
Air Max, Air VaporMax 2 Black Dark Grey, 190, 60, 167, -12.11
Air Max, Air VaporMax 2 Black Laser Orange Total Crimson, 190, 194, 154, -18.95
Air Max, Air VaporMax 2 Black Metallic Gold (W), 190, 66, 175, -7.89
Air Max, Air VaporMax 2 Black Multi-Color, 190, 87, 185, -2.63
Air Max, Air VaporMax 2 Black White, 190, 1298, 182, -4.21
Air Max, Air VaporMax 2 Black White (W), 190, 335, 188, -1.05
Air Max, Air VaporMax 2 Cookies and Cream, 190, 31, 153, -19.47
Air Max, Air VaporMax 2 Crimson Pulse (W), 190, 142, 209, 10
Air Max, Air VaporMax 2 Dark Grey (W), 190, 22, 170, -10.53
Air Max, Air VaporMax 2 Dark Stucco, 190, 28, 191, 0.53
Air Max, Air VaporMax 2 Light Cream (W), 190, 150, 201, 5.79
Air Max, Air VaporMax 2 Light Cream Racer Blue, 190, 174, 170, -10.53
Air Max, Air VaporMax 2 Midnight Purple, 190, 115, 175, -7.89
Air Max, Air VaporMax 2 Particle Beige Igloo (W), 190, 56, 167, -12.11
Air Max, Air VaporMax 2 Pure Platinum Arctic Pink (W), 190, 26, 175, -7.89
Air Max, Air VaporMax 2 Racer Pink Racer Blue (W), 190, 39, 192, 1.05
Air Max, Air VaporMax 2 Safari, 190, 90, 154, -18.95
Air Max, Air VaporMax 2 Team Red Obsidian, 190, 114, 164, -13.68
Air Max, Air VaporMax 2 Volt, 190, 540, 187, -1.58
Air Max, Air VaporMax 2 White Pure Platinum (W), 190, 29, 238, 25.26
Air Max, Air VaporMax 2.0 Dusty Cactus Hyper Jade, 190, 295, 157, -17.37
Air Max, Air VaporMax 2019 Active Fuchsia (W), 190, 6, 213, 12.11
Air Max, Air VaporMax 2019 Black Metallic Gold, 190, 80, 174, -8.42
Air Max, Air VaporMax 2019 Plum Chalk (W), 190, 4, 197, 3.68
Air Max, Air VaporMax 2019 Premium Black Active Fuchsia Photo Blue, 190, 5, 192, 1.05
Air Max, Air VaporMax 2019 Premium White Platinum Tint Lime Blast, 190, 42, 175, -7.89
Air Max, Air VaporMax 2019 White Metallic Gold (W), 190, 29, 220, 15.79
Air Max, Air VaporMax 95 Neo Turquoise, 190, 139, 120, -36.84
Air Max, Air VaporMax 95 Neon, 190, 1058, 174, -8.42
Air Max, Air VaporMax 95 Slate, 190, 347, 152, -20
Air Max, Air VaporMax 97 Atmosphere Grey University Red (GS), 180, 20, 157, -12.78
Air Max, Air VaporMax 97 Blur (W), 190, 112, 146, -23.16
Air Max, Air VaporMax 97 Dark Sea (W), 190, 153, 182, -4.21
Air Max, Air VaporMax 97 Grape, 190, 646, 142, -25.26
Air Max, Air VaporMax 97 Japan, 190, 1289, 177, -6.84
Air Max, Air VaporMax 97 Metallic Gold, 190, 1380, 173, -8.95
Air Max, Air VaporMax 97 Triple Black (GS), 180, 39, 193, 7.22
Air Max, Air VaporMax CDG Black, 330, 74, 367, 11.21
Air Max, Air VaporMax CS Black White, 175, 6, 144, -17.71
Air Max, Air VaporMax CS Medium Olive, 175, 8, 110, -37.14
Air Max, Air VaporMax Camo, 195, 124, 181, -7.18
Air Max, Air VaporMax Chukka Slip Black Silver, 220, 64, 155, -29.55
Air Max, Air VaporMax Clot Bright Crimson, 200, 119, 436, 118
Air Max, Air VaporMax College Navy Night Purple, 190, 69, 184, -3.16
Air Max, Air VaporMax Flyknit 2 White Vast Grey (W), 190, 73, 171, -10
Air Max, Air VaporMax Glacier Blue (W), 190, 34, 207, 8.95
Air Max, Air VaporMax Grey Multi-Color, 190, 375, 184, -3.16
Air Max, Air VaporMax Grey Multi-Color (W), 190, 43, 195, 2.63
Air Max, Air VaporMax Hyper Punch (W), 190, 288, 235, 23.68
Air Max, Air VaporMax Inneva Summit White, 240, 72, 160, -33.33
Air Max, Air VaporMax Light 2 Triple Black (W), 180, 26, 113, -37.22
Air Max, Air VaporMax Midnight Fog (W), 190, 49, 164, -13.68
Air Max, Air VaporMax Moc 2 Acronym Black, 225, 1045, 233, 3.56
Air Max, Air VaporMax Moc 2 Acronym Light Bone, 225, 2393, 271, 20.44
Air Max, Air VaporMax Moc 2 Acronym Sail, 225, 792, 216, -4
Air Max, Air VaporMax Moc 2 Gunsmoke (W), 200, 26, 182, -9
Air Max, Air VaporMax Moc 2 Light Silver Campfire Orange Celestial Teal (W), 200, 5, 227, 13.5
Air Max, Air VaporMax Moc 2 Mica Green, 200, 63, 147, -26.5
Air Max, Air VaporMax Moc 2 Terra Blush (W), 200, 73, 196, -2
Air Max, Air VaporMax Moc 2 Thunder Blue, 200, 56, 193, -3.5
Air Max, Air VaporMax Moc 2 University Red Fuchsia Blast (W), 200, 246, 208, 4
Air Max, Air VaporMax Moc Midnight Fog, 200, 174, 177, -11.5
Air Max, Air VaporMax Off-White, 250, 855, 1007, 302.8
Air Max, Air VaporMax Olive, 190, 76, 182, -4.21
Air Max, Air VaporMax Oreo 2.0, 190, 256, 198, 4.21
Air Max, Air VaporMax Platinum Red Black, 190, 306, 188, -1.05
Air Max, Air VaporMax Plus Aluminum, 190, 2, 260, 36.84
Air Max, Air VaporMax Plus Black Clear Emerald, 190, 58, 145, -23.68
Air Max, Air VaporMax Plus Black Metallic Gold Anthracite, 190, 20, 209, 10
Air Max, Air VaporMax Plus Black Orange Crimson, 190, 951, 243, 27.89
Air Max, Air VaporMax Plus Bordeaux (W), 190, 231, 201, 5.79
Air Max, Air VaporMax Plus Burnt Orange (W), 190, 18, 130, -31.58
Air Max, Air VaporMax Plus Cargo Khaki, 190, 533, 220, 15.79
Air Max, Air VaporMax Plus Cool Grey Team Orange, 190, 140, 147, -22.63
Air Max, Air VaporMax Plus Creamsicle (W), 190, 241, 209, 10
Air Max, Air VaporMax Plus Eggplant, 190, 76, 159, -16.32
Air Max, Air VaporMax Plus Game Royal Racer Blue, 190, 4, 239, 25.79
Air Max, Air VaporMax Plus Grape, 190, 1578, 203, 6.84
Air Max, Air VaporMax Plus Hyper Blue, 190, 577, 192, 1.05
Air Max, Air VaporMax Plus Light Silver Mica Green (W), 190, 31, 151, -20.53
Air Max, Air VaporMax Plus Olympic, 190, 330, 185, -2.63
Air Max, Air VaporMax Plus Overbranding Black, 190, 145, 152, -20
Air Max, Air VaporMax Plus Overbranding Bright Crimson, 190, 219, 147, -22.63
Air Max, Air VaporMax Plus Persian Violet Midnight Navy (W), 190, 34, 140, -26.32
Air Max, Air VaporMax Plus Rainbow, 190, 950, 201, 5.79
Air Max, Air VaporMax Plus Reverse Sunset (W), 190, 217, 200, 5.26
Air Max, Air VaporMax Plus Sherbet (W), 190, 482, 229, 20.53
Air Max, Air VaporMax Plus Triple Black, 190, 2365, 214, 12.63
Air Max, Air VaporMax Plus USA, 190, 468, 202, 6.32
Air Max, Air VaporMax Plus White, 190, 1673, 203, 6.84
Air Max, Air VaporMax Plus Work Blue, 190, 123, 166, -12.63
Air Max, Air VaporMax Premier Flyknit Team Red, 225, 12, 134, -40.44
Air Max, Air VaporMax Pure Platinum, 190, 311, 247, 30
Air Max, Air VaporMax Pure Platinum (W), 190, 85, 210, 10.53
Air Max, Air VaporMax Run Utility Black Anthracite, 190, 305, 177, -6.84
Air Max, Air VaporMax Run Utility Black Reflect Silver, 190, 394, 187, -1.58
Air Max, Air VaporMax Run Utility Desert Ore, 190, 49, 174, -8.42
Air Max, Air VaporMax Run Utility Light Silver, 190, 114, 170, -10.53
Air Max, Air VaporMax Run Utility Medium Olive, 190, 79, 153, -19.47
Air Max, Air VaporMax Run Utility Urban Bounce, 190, 191, 201, 5.79
Air Max, Air VaporMax Triple Black 2.0, 190, 208, 245, 28.95
Air Max, Air VaporMax Triple Black 2.0 (W), 190, 61, 261, 37.37
Air Max, Air VaporMax Utility Black Cool Grey, 225, 138, 161, -28.44
Air Max, Air VaporMax Utility Light Bone, 225, 87, 170, -24.44
Air Max, Air Vapormax Off White 2018, 250, 6410, 592, 136.8
Air Max, Nike Air Classic BW Vachetta Tan, 150, 1, 125, -16.67
Air Max, Nike VaporMax Premier Flyknit Black Metallic Silver White, 225, 99, 156, -30.67
Air Max, Nike VaporMax Premier Flyknit Black Multi-Color, 225, 28, 137, -39.11
Air Max, Air Max 1 1-100 (W), 140, 2, 88, -37.14
Air Max, Air Max 1 Cool Grey Gum, 120, 18, 115, -4.17
Air Max, Air Max 1 Desert Camo, 130, 376, 111, -14.62
Air Max, Air Max 1 Dover Street Market Ventile (Brave Blue), 150, 60, 157, 4.67
Air Max, Air Max 1 Flyknit OG, 160, 79, 157, -1.88
Air Max, Air Max 1 Gradient Toe Obsidian, 130, 52, 84, -35.38
Air Max, Air Max 1 Gradient Toe Pure Platinum, 130, 39, 79, -39.23
Air Max, Air Max 1 Jewel Atomic Teal, 140, 53, 144, 2.86
Air Max, Air Max 1 Jewel Black Diamond, 140, 46, 140, 0
Air Max, Air Max 1 Jewel Wolf Grey (W), 140, 5, 131, -6.43
Air Max, Air Max 1 Just Do It White (W), 110, 398, 146, 32.73
Air Max, Air Max 1 London Underground "Roundel", 156, 13, 234, 50
Air Max, Air Max 1 Master, 130, 237, 403, 210
Air Max, Air Max 1 Mini Swoosh Pure Platinum, 130, 40, 106, -18.46
Air Max, Air Max 1 Mini Swoosh Work Blue, 130, 102, 113, -13.08
Air Max, Air Max 1 Olive Canvas Dark Russet, 110, 143, 114, 3.64
Air Max, Air Max 1 Pinnacle Mushroom, 160, 76, 130, -18.75
Air Max, Air Max 1 Pinnacle Ocean Fog, 150, 19, 125, -16.67
Air Max, Air Max 1 Satin Blue Nebula, 120, 51, 79, -34.17
Air Max, Air Max 1 Satin University Red Deep Royal Blue, 120, 87, 79, -34.17
Air Max, Air Max 1 Solar Daisy, 150, 177, 151, 0.67
Air Max, Air Max 1 Spring Mix (W), 140, 118, 153, 9.29
Air Max, Air Max 1 Team Red Green Abyss, 110, 62, 97, -11.82
Air Max, Air Max 1 Ultra Flyknit Arthur Huang, 250, 22, 176, -29.6
Air Max, Air Max 1 Watermelon, 110, 1360, 131, 19.09
Air Max, Air Max 1 x Wasafu Los Primeros, 150, 185, 113, -24.67
Air Max, Air Max 180 Comme des Garcons White, 260, 150, 220, -15.38
Air Max, Air Max 180 Easter (2006), 130, 3, 152, 16.92
Air Max, Air Max 180 Fire, 140, 14, 158, 12.86
Air Max, Air Max 2016 Black Dark Grey, 190, 60, 118, -37.89
Air Max, Air Max 270 Black Hot Punch, 150, 664, 163, 8.67
Air Max, Air Max 270 Black White (W), 150, 15, 153, 2
Air Max, Air Max 270 Bowfin Black Desert, 160, 662, 180, 12.5
Air Max, Air Max 270 Bowfin Black Photo Blue, 160, 178, 165, 3.12
Air Max, Air Max 270 Desert Sand Hot Punch (W), 150, 10, 147, -2
Air Max, Air Max 270 Flyknit Black White, 170, 153, 152, -10.59
Air Max, Air Max 270 Flyknit Crimson Pulse (W), 170, 11, 132, -22.35
Air Max, Air Max 270 Grey Volt Orange, 150, 216, 94, -37.33
Air Max, Air Max 270 Guava Ice (W), 150, 71, 112, -25.33
Air Max, Air Max 270 Ocean Bliss (W), 150, 190, 173, 15.33
Air Max, Air Max 270 Triple Black, 150, 866, 136, -9.33
Air Max, Air Max 270 University Gold (GS), 120, 189, 168, 40
Air Max, Air Max 90 Atmos We Love Nike (Bright Crimson), 140, 710, 123, -12.14
Air Max, Air Max 90 Chicago, 120, 25, 175, 45.83
Air Max, Air Max 90 Dark Grey Black Volt, 110, 37, 85, -22.73
Air Max, Air Max 90 EZ White Rainbow Sole, 130, 27, 101, -22.31
Air Max, Air Max 90 Essential Black White (W), 110, 5, 108, -1.82
Air Max, Air Max 90 Game Red Elemental Gold, 110, 17, 79, -28.18
Air Max, Air Max 90 Hyperfuse Milan Aperitivo (GS), 150, 1, 287, 91.33
Air Max, Air Max 90 Laser Pink 2018 (W), 110, 14, 84, -23.64
Air Max, Air Max 90 NS Big Logo Black Crimson, 150, 8, 58, -61.33
Air Max, Air Max 90 Nylon Royal, 120, 1, 40, -66.67
Air Max, Air Max 90 OG Infrared (2015), 120, 320, 233, 94.17
Air Max, Air Max 90 Random Scribbles, 130, 31, 120, -7.69
Air Max, Air Max 90 Shanghai Must Win Cake (W), 170, 6, 212, 24.71
Air Max, Air Max 90 Ultra 2.0 Doernbecher Oregon Ducks, 130, 177, 173, 33.08
Air Max, Air Max 90 Ultra 2.0 Flyknit White, 160, 97, 97, -39.38
Air Max, Air Max 90 Ultra 2.0 Pure Platinum, 160, 9, 109, -31.87
Air Max, Air Max 90 Ultra 2.0 White Metallic Platinum (W), 120, 2, 98, -18.33
Air Max, Air Max 90 Ultra Flyknit Metallic Gold (W), 200, 6, 70, -65
Air Max, Air Max 90 Vachetta Tan Snake, 150, 60, 98, -34.67
Air Max, Air Max 90 Warhawk, 110, 1, 1000, 809.09
Air Max, Air Max 90 White University Red Black, 110, 27, 111, 0.91
Air Max, Air Max 90-1 Black White, 140, 2, 110, -21.43
Air Max, Air Max 90-1 Laser Blue, 140, 89, 92, -34.29
Air Max, Air Max 90-1 White Dark Obsidian, 140, 54, 125, -10.71
Air Max, Air Max 93 Menthol (2018), 130, 526, 115, -11.54
Air Max, Air Max 93 Menthol 2018 (W), 130, 30, 90, -30.77
