brand, name, retail_price, total_sales, avg_sale_price
Nike, Air Max 95 Atmos We Love Nike (Bright Crimson), 170, 507, 132
Nike, Air Max 95 Atmos Animal Pack 2.0 (2018 All Black Box), 200, 1521, 364
Nike, Air Foamposite One Big Bang, 230, 3152, 502
Adidas, adidas Ultra Boost 4.0 Breast Cancer Awareness, 180, 2610, 162
Nike, Air Max 95 Carhartt WIP Camo, 170, 770, 182
Adidas, adidas EQT Support 93-17 Triple Black, 180, 1185, 112
Adidas, adidas Ultra Boost 4.0 Core Black (W), 180, 576, 128
Other, Puma RS-0 SEGA Sonic the Hedgehog, 130, 557, 197
Nike, Air Force 1 Low Skeleton Halloween (2018), 130, 1260, 162
Adidas, adidas NMD R2 Japan Core Black, 170, 576, 127
Adidas, adidas Human Race NMD Pharrell Oreo, 240, 1313, 456
Adidas, adidas Ultra Boost Lux Sneakersnstuff x Social Status Vintage White, 200, 1233, 138
Jordan, Jordan 1 Retro Bred "Banned" (2016), 160, 2602, 451
Adidas, adidas Ultra Boost 4.0 Core Black, 180, 3500, 137
Jordan, Jordan 1 Retro High Gatorade Blue Lagoon, 175, 1107, 130
Nike, Nike Blazer Mid Off-White All Hallow's Eve, 130, 5318, 608
Nike, Air Max 97 Metallic Gold (GS), 150, 784, 149
Nike, Nike SB Dunk High Humidity, 110, 1475, 209
Jordan, Jordan 1 Retro High Wings, 200, 1092, 186
Nike, LeBron 16 HFR (W), 250, 706, 353
Adidas, adidas Yeezy 500 Blush, 200, 37816, 296
Nike, Kyrie 4 Equality Black History Month (2018), 120, 700, 164
Nike, Air Force 1 Low John Elliott White, 150, 648, 150
Jordan, Jordan 14 Retro Ferrari, 200, 521, 328
Other, Balenciaga Triple S Black White Red (2018 Reissue), 795, 627, 1024
Jordan, Jordan 1 Retro High Game Royal (GS), 120, 4811, 175
Adidas, adidas Yeezy Powerphase Calabasas Core White, 120, 1505, 265
Nike, Kyrie 4 Uncle Drew, 120, 559, 112
Jordan, Jordan 4 Retro Motorsports Alternate, 190, 1013, 171
Jordan, Jordan 12 Retro Michigan, 225, 3480, 256
Adidas, adidas Ultra Boost 3.0 Multi-Color, 200, 646, 188
Nike, Air Max 90 NIC, 140, 984, 169
Nike, Air Force 1 Low Off-White Black White, 170, 3798, 508
Jordan, Jordan 1 Retro High Equality Black History Month (2018), 145, 753, 201
Jordan, Jordan 1 Retro High Blue Moon (GS), 120, 1482, 197
Jordan, Jordan 1 Mid Black Cone, 110, 1042, 104
Jordan, Jordan 11 Retro Space Jam (2016), 220, 5410, 289
Jordan, Jordan 1 Retro High NRG Patent Gold Toe, 160, 11973, 258
Jordan, Jordan 5 Retro Red Suede, 190, 1053, 187
Nike, Nike Blazer Mid 77 Habanero Red, 100, 550, 132
Jordan, Jordan 9 Retro Boot Black Concord, 225, 673, 180
Nike, Nike React Hyperdunk 2017 Flyknit Off-White, 200, 776, 617
Jordan, Jordan 1 Retro High Court Purple (GS), 120, 5102, 318
Jordan, Jordan 11 Retro Low Closing Ceremony, 170, 1239, 193
Nike, Nike Dunk SB High Diamond Supply Co. "Tiffany", 108, 564, 232
Jordan, Jordan 1 Retro Metallic Red (2017), 160, 1340, 140
Jordan, Jordan 10 Retro Orlando, 190, 1579, 149
Jordan, Jordan 1 Retro High Satin Shattered Backboard (W), 160, 12099, 353
Jordan, Jordan 11 Retro Low Rose Gold (W), 175, 2036, 199
Jordan, Jordan 11 Retro UNC Win Like 82, 220, 5295, 225
Other, Converse Chuck Taylor All-Star 70s Hi Off-White, 130, 10312, 313
Nike, Air Max 1-97 Sean Wotherspoon (TD), 100, 847, 237
Adidas, adidas Ultra Boost 4.0 Black Multi-Color NYC Bodegas, 180, 1435, 115
Jordan, Jordan 11 Retro Low Cool Grey, 175, 4647, 178
Jordan, Jordan 12 Retro Chris Paul Class Of 2003, 190, 1039, 180
Nike, Air Force 1 Low Just Do It Pack White (GS), 85, 590, 125
Nike, LeBron 15 Diamond Turf, 200, 651, 267
Jordan, Jordan 4 Retro Laser Black Gum, 200, 1575, 172
Jordan, Jordan 13 Retro Bred (2017), 190, 1916, 188
Nike, Kyrie 4 Red Carpet, 120, 699, 145
Adidas, adidas Ultra Boost 4.0 Chinese New Year (2018), 180, 618, 211
Nike, Air Max 1 Anniversary Royal (2017 Restock Pair), 140, 1047, 190
Jordan, Jordan 13 Retro White Hyper Royal Black, 190, 2209, 202
Nike, Air Max 97 White Pure Platinum University Red, 160, 588, 167
Nike, Air VaporMax Moc 2 Acronym Light Bone, 225, 2393, 271
Jordan, Jordan 18 Retro Black Sport Royal, 225, 762, 241
Nike, Air VaporMax 2 Volt, 190, 540, 187
