brand, name, retail_price, total_sales, avg_sale_price
Nike, Kobe 1 Protro MPLS, 175, 505, 143
Adidas, adidas Yeezy Boost 350 V2 Sesame, 220, 20490, 264
Jordan, Jordan 5 Retro Blue Suede, 190, 940, 180
Adidas, adidas Solar Hu Glide Multi-Color, 150, 875, 213
Nike, Kobe 1 Protro Think 16 (Close Out), 175, 1751, 191
Nike, Air Max 97 Cristiano Ronaldo Portugal Patchwork, 170, 1596, 293
Other, Vans Sk8-Hi Deconstructed Marshmallow, 115, 605, 184
Adidas, adidas Solar Hu Glide Black, 150, 883, 190
Nike, Air Max 270 Doernbecher (2018), 150, 545, 195
Jordan, Jordan 1 Rebel XX Top 3 (W), 145, 2408, 201
Adidas, adidas Ultra Boost 4.0 Grey Four, 180, 602, 157
Jordan, Jordan 1 Mid Alternate Think 16, 110, 1915, 147
Jordan, Jordan 1 Mid Top 3, 110, 845, 140
Nike, LeBron 16 Fresh Bred, 185, 901, 162
Jordan, Jordan 3 Retro JTH Bio Beige, 250, 3584, 304
Nike, LeBron 15 Black Gold, 185, 556, 197
Nike, Nike PG 2.5 Playstation Multi-Color, 110, 994, 152
Other, Converse Chuck Taylor All-Star 70s Hi Brain Dead, 110, 864, 220
Other, Vans Sk8-Hi MTE NASA Space Voyager True White, 110, 1683, 144
Jordan, Jordan 9 Retro MOP Melo, 190, 1340, 315
Jordan, Jordan 1 Retro High Hyper Royal, 160, 1817, 117
Nike, Kyrie 4 Halloween, 120, 840, 132
Adidas, adidas Yeezy Boost 350 V2 Butter, 220, 43420, 270
Jordan, Jordan 1 Mid Hornets, 110, 1118, 138
Jordan, Jordan 11 Retro Platinum Tint (GS), 170, 552, 146
Nike, Air VaporMax Plus Black Orange Crimson, 190, 951, 243
Nike, Nike SB Gato Supreme Black, 110, 1197, 127
Nike, Air Force 1 Mid Supreme NBA White, 165, 6212, 270
Jordan, Jordan 13 Retro Alternate History of Flight, 190, 697, 156
Other, Vans Sk8-Hi MTE NASA Space Voyager Black, 110, 866, 132
Adidas, adidas Yeezy Powerphase Calabasas Grey, 120, 4162, 159
Adidas, adidas Ultra Boost 4.0 Parley Carbon, 200, 1182, 126
Nike, Nike PG 2.5 Playstation White, 110, 553, 187
Jordan, Jordan 5 Retro Satin Bred, 190, 2206, 171
Nike, Kyrie 4 Cinnamon Toast Crunch, 120, 1770, 156
Nike, Air Force 1 Low Travis Scott (AF100), 150, 591, 555
Adidas, adidas Ultra Boost 1.0 Multi-Color Toe Navy, 200, 1232, 142
Jordan, Jordan 12 Retro Gym Red, 190, 1010, 220
Adidas, adidas Ultra Boost Clima Solar Yellow, 200, 963, 105
Jordan, Jordan 1 Retro High Sports Illustrated (A Star Is Born), 160, 10617, 212
Jordan, Jordan 10 Retro I'm Back, 190, 878, 175
Adidas, adidas Ultra Boost Clima Core Black Solar Red, 220, 1800, 148
Jordan, Jordan 3 Retro Mocha (2018), 190, 1663, 176
Nike, Nike Blazer Mid Off-White Grim Reaper, 130, 5613, 530
Jordan, Jordan 1 Mid White Plaid (GS), 90, 1542, 118
Jordan, Jordan 13 Retro Low Clot Black Red, 200, 601, 331
Jordan, Jordan 3 Retro True Blue (2016), 220, 2639, 228
Jordan, Jordan 5 Retro Wings, 200, 4087, 289
Jordan, Jordan 12 Retro Chinese New Year (2019), 250, 644, 250
Jordan, Jordan Legacy 312 Ghost Green, 160, 1105, 179
Jordan, Jordan 6 Retro Gatorade Green, 225, 1574, 255
Nike, Air Max 97 Off-White Elemental Rose Serena "Queen", 190, 954, 908
Nike, Air Max 90 South Beach, 110, 858, 119
Nike, Air Foamposite One Copper (2017), 230, 570, 168
Jordan, Jordan 6 Retro Chinese New Year (2018), 250, 1727, 234
Jordan, Jordan 6 Retro Tinker, 190, 1871, 157
Adidas, adidas Yeezy Boost 350 V2 Core Black Green, 220, 611, 617
Jordan, Jordan 1 Retro Metallic Navy (2016), 160, 533, 161
Adidas, adidas Dame 4 A Bathing Ape Camo, 150, 2245, 322
Adidas, adidas NMD R1 Core Black Lush Red, 150, 1788, 126
Jordan, Jordan 1 Retro High Game Royal, 160, 19134, 213
Nike, Kobe 1 Protro Black Maize, 175, 1417, 229
Jordan, Jordan 4 Retro Raptors, 200, 4444, 231
Adidas, adidas NMD R1 STLT Triple Black, 170, 2946, 104
Adidas, adidas Yeezy Boost 350 V2 Zebra, 220, 34858, 340
Jordan, Jordan 14 Retro Last Shot (2018), 190, 2456, 180
Jordan, Jordan 1 Retro High OG Black, 160, 568, 129
Adidas, adidas NMD CS1 Gore-tex Black, 230, 679, 130
Nike, LeBron 16 King, 185, 722, 216
Jordan, Jordan 12 Retro The Master, 190, 968, 282
Nike, LeBron 15 Multi-Color, 185, 634, 149
Adidas, adidas NMD Hu Pharrell Inspiration Pack Black, 250, 2391, 221
Nike, Air Max 95 ERDL Party Black, 190, 927, 192
Nike, Air Force 1 Low Carhartt WIP Ale Brown, 130, 715, 126
Nike, Air Max 97 Off-White Black, 190, 1288, 673
Adidas, adidas I-5923 Neighborhood Core Black, 200, 964, 219
Nike, Air Max 1 Anniversary Aqua, 140, 998, 104
Nike, Air Max 1-97 Sean Wotherspoon (Extra Lace Set Only), 160, 10008, 582
Jordan, Jordan 8 Retro Valentine's Day 2018 (W), 190, 832, 288
Nike, Air Force 1 Low Roc-A-Fella (AF100), 150, 931, 154
Adidas, adidas Yeezy 700 V2 Static, 300, 4074, 416
Jordan, Jordan 1 Mid Chicago, 110, 827, 126
Adidas, adidas NMD CS1 Parley Blue Spirit, 220, 513, 106
Jordan, Jordan Legacy 312 Command Force Volt, 160, 631, 142
Jordan, Jordan 1 Retro High Neutral Grey Hyper Crimson, 160, 7776, 235
Nike, Air VaporMax Plus Triple Black, 190, 2365, 214
Jordan, Jordan 12 Retro Taxi (2013), 170, 517, 329
Adidas, adidas Ultra Boost 4.0 Grey Two, 180, 1983, 128
Jordan, Jordan 7 Retro Pantone, 190, 548, 118
Jordan, Jordan 7 Retro Pure Platinum, 190, 637, 126
Jordan, Jordan Defining Moments Pack Last Shot, 500, 739, 335
Adidas, adidas Ultra Boost 4.0 White Multi-Color, 180, 1751, 127
Nike, Air Foamposite One Chrome White (W), 230, 684, 159
Jordan, Jordan 1 Rebel XX Concord (W), 145, 517, 146
Nike, Air VaporMax Off-White, 250, 855, 1007
Jordan, Jordan 1 Mid Gym Red Black, 110, 3499, 124
Jordan, Jordan 3 Retro Golf White Cement, 200, 843, 351
Nike, Air VaporMax Plus White, 190, 1673, 203
Jordan, Jordan 5 Retro Grape Fresh Prince, 190, 2399, 240
Jordan, Jordan 1 Retro High Sports Illustrated (A Star Is Born) (GS), 120, 3780, 157
Jordan, Jordan 3 Retro Hall of Fame (GS), 140, 657, 119
Jordan, Jordan 1 Retro 30th Anniversary Laser, 185, 526, 188
Nike, Nike SB Dunk Low Diamond Supply Co Black Diamond, 100, 3901, 182
Jordan, Jordan 9 Retro Bred Patent (GS), 140, 1163, 171
Nike, Air Fear Of God 1 Black, 395, 2951, 793
Other, Vans Old Skool Cream Red, 60, 574, 121
Jordan, Jordan 1 Retro Yin Yang White, 160, 1808, 141
Jordan, Jordan 11 Retro Low Cool Grey (GS), 130, 838, 132
Other, Vans Old Skool NASA Space Voyager True White, 85, 3805, 149
Other, Vans Sk8-Hi Van Gogh Almond Blossom (W), 100, 511, 111
Jordan, Jordan 12 Retro Gym Red 2018 (GS), 140, 969, 148
Jordan, Air Jordan 3 JTH Super Bowl, 200, 2052, 606
Jordan, Jordan 1 Retro High Union Los Angeles Blue Toe, 190, 3521, 833
Jordan, Jordan 11 Retro Gamma Blue, 185, 1067, 370
Nike, Air VaporMax Moc 2 University Gold (W), 200, 633, 239
Jordan, Jordan 3 Retro AWOK Vogue Black (W), 220, 754, 177
Jordan, Jordan 1 Retro High Yin Yang White (GS), 120, 511, 114
Jordan, Jordan 11 Retro Low Concord, 150, 788, 292
Nike, Nike SB Dunk Low Black Pigeon, 110, 1087, 200
Adidas, adidas NMD TS1 Gore-Tex Triple Black, 230, 931, 165
Nike, Nike SB Dunk High Bred, 110, 1022, 129
Jordan, Jordan 6 Retro Carmine (2014), 170, 1007, 271
Nike, Air Force 1 Foamposite Cup Triple Black, 200, 923, 104
Nike, LeBron 15 Cereal, 185, 919, 221
Jordan, Jordan 1 Mid South Beach, 120, 4793, 155
Nike, Kobe 1 Protro Mamba Day, 175, 828, 248
Nike, Air Foamposite Pro All-Star (2018), 250, 1788, 200
Adidas, adidas Ultra Boost 4.0 Navy Multi-Color, 180, 928, 150
Jordan, Jordan Why Not 0.2 Future History, 125, 746, 157
Jordan, Jordan 1 Retro High Bred Toe (GS), 120, 7466, 217
Nike, LeBron Zoom Soldier 1 Think 16 (25 Straight), 150, 1108, 168
Adidas, adidas Yeezy 500 Super Moon Yellow, 200, 12408, 255
Nike, Kyrie 5 Concepts Ikhet (Special Box), 140, 1062, 227
Nike, Nike Zoom Fly Off-White, 170, 745, 681
Jordan, Jordan 1 Mid Top 3 (GS), 90, 565, 106
Jordan, Jordan 4 Retro Levi's Black (GS) (Levi's Tag), 200, 646, 175
Nike, Air Max 97 Metallic Gold (W), 160, 662, 170
Nike, Air Force 1 Low De Lo Mio, 165, 1522, 257
Nike, Kyrie 5 Taco PE, 130, 1707, 158
Jordan, Jordan 1 Retro High Court Purple, 160, 11165, 328
Adidas, adidas Human Race NMD Pharrell Sun Glow, 240, 910, 350
Nike, Lunar Force 1 Low Acronym (AF100), 200, 750, 259
Jordan, Jordan 5 Retro White Cement, 190, 827, 188
Jordan, Jordan 6 Retro Black Cat, 190, 573, 191
Jordan, Jordan 1 Retro High Off-White University Blue, 190, 18751, 852
Jordan, Jordan 6 Retro Alternate Hare, 190, 608, 194
Jordan, Jordan 1 Retro High Pine Green, 160, 19144, 260
Nike, Air More Uptempo Black Reflective (2018), 160, 899, 158
Jordan, Jordan 6 Retro UNC, 190, 1330, 212
Nike, Air Foamposite One Denim, 230, 762, 165
Adidas, adidas EQT Support Adv Gucci, 110, 807, 111
Jordan, Jordan 4 Retro 30th Anniversary Laser, 250, 784, 217
Jordan, Jordan 1 Retro High "Not for Resale" Varsity Red, 160, 5342, 599
Nike, Nike SB Dunk Low Staple Panda Pigeon, 100, 2445, 311
Jordan, Jordan 11 Retro Low Derek Jeter RE2PECT, 200, 4483, 215
Jordan, Jordan 1 Retro Top 3, 160, 1461, 424
Jordan, Jordan 1 Mid Bred Multi-Color, 110, 501, 151
Jordan, Jordan 6 Retro All Star 2017 "Chameleon", 225, 937, 145
Jordan, Jordan 1 Retro High Rookie of the Year, 160, 19753, 246
Jordan, Jordan 1 Retro High Gatorade Rush Violet, 175, 679, 120
Jordan, Jordan 1 Retro High Paris Saint Germain, 160, 1491, 174
Jordan, Jordan 13 Retro Black Cat, 190, 819, 221
Adidas, adidas Human Race NMD Pharrell Blank Canvas, 250, 2921, 438
Jordan, Jordan 9 Retro City of Flight, 190, 1207, 153
Nike, Air Max 97 Off-White, 190, 969, 811
Other, Vans Sk8-Hi Supreme Skull Pile (Green), 110, 1065, 167
Nike, Air Max 1 Anniversary Red (2017-2018 Restock Pair), 140, 3264, 145
Nike, Nike SB Dunk Low Diamond Supply Co White Diamond, 100, 2025, 216
Adidas, adidas Yeezy Boost 350 V2 Beluga, 220, 1435, 741
Nike, LeBron 15 Red Diamond Turf, 200, 1489, 205
Nike, Air Max 270 Betrue (2018), 160, 920, 238
Jordan, Jordan 13 Retro OG Chicago (2017), 190, 1295, 182
Nike, LeBron 11 What the LeBron, 250, 522, 256
Nike, Air Fear Of God 1 SA Light Bone Black, 300, 516, 503
Other, Converse Chuck Taylor All-Star 70s Hi Kith x Coca Cola Yellow, 150, 582, 329
Nike, Air Max 90 Atmos We Love Nike (Bright Crimson), 140, 710, 123
Nike, Air Max 93 Menthol (2018), 130, 526, 115
Nike, Air Max 1 Just Do It Pack White, 130, 943, 150
Nike, Air Force 1 Low Travis Scott Sail, 150, 9607, 313
Nike, Air VaporMax 2 Black White, 190, 1298, 182
Nike, Air Force 1 High Sheed Think 16 (Rude Awakening), 130, 860, 144
Adidas, adidas Yeezy Boost 350 V2 Black Red Infant (I), 140, 638, 222
Nike, Air VaporMax Plus Rainbow, 190, 950, 201
Jordan, Jordan 13 Retro Low Clot Sepia Stone, 200, 2214, 342
Jordan, Jordan 15 Retro Doernbecher (2018), 190, 836, 233
Jordan, Jordan 4 Retro Levi's Black (Levi's Tag), 225, 3630, 318
Nike, Air VaporMax Moc 2 Acronym Sail, 225, 792, 216
Jordan, Jordan 4 Retro Black Cement (2012), 160, 826, 331
Jordan, Jordan 11 Retro 72-10, 220, 3054, 274
Other, Puma Thunder Spectra Black, 120, 2426, 168
Adidas, adidas Ultra Boost 4.0 Triple Black, 200, 3516, 210
Jordan, Jordan 1 Mid Multi-Color Swoosh Phantom (GS), 90, 2058, 175
Nike, Air Foamposite One Rust Pink, 230, 1120, 172
Jordan, Jordan 1 Retro High Flyknit Shadow, 180, 508, 116
Adidas, adidas Yeezy Wave Runner 700 Solid Grey, 300, 42205, 433
Jordan, Jordan 1 Retro Valentine's Day 2017 (GS), 120, 813, 228
Jordan, Jordan 3 Retro Infrared 23, 170, 636, 227
Adidas, adidas Crazy BYW LVL 1 Black White, 170, 523, 117
Adidas, adidas Ultra Boost 4.0 White-Royal, 180, 719, 171
Jordan, Jordan 4 Retro Kaws, 350, 617, 1159
Jordan, Jordan 4 Retro Motorsports (2017), 190, 1412, 191
Nike, Air Force 1 Low 3D Chenille Swoosh White Red Blue, 100, 550, 112
Nike, Air Max Deluxe Skepta, 190, 1264, 195
Jordan, Jordan XXXIII Future of Flight, 175, 1146, 202
Adidas, adidas Ultra Boost 3.0 Oreo, 180, 595, 227
Jordan, Jordan 6 Retro Infrared White (2014), 170, 846, 216
Jordan, Jordan 1 Retro High Yellow Ochre, 160, 2112, 324
Other, Converse Chuck Taylor All-Star 70s Hi Kith x Coca Cola White, 150, 541, 371
Jordan, Jordan 1 Mid Team Orange Black, 120, 1622, 150
Adidas, adidas AlphaEdge 4D Ash Green, 300, 755, 382
Nike, LeBron 16 Superman SuperBron, 200, 807, 214
Nike, KD 11 EYBL, 150, 1075, 194
Nike, Kobe 1 Protro Undefeated White, 180, 848, 397
Adidas, adidas Yeezy Boost 750 Light Grey Glow In the Dark, 350, 535, 908
Jordan, Jordan 1 Retro High Camo 3M Shadow, 145, 690, 130
Adidas, adidas Yeezy Boost 350 V2 Blue Tint, 220, 19752, 387
Jordan, Jordan 1 Retro UNC, 160, 912, 278
Nike, Air Max 1 Parra (2018), 150, 3463, 366
Nike, Air Force 1 Low Utility Black White, 100, 1125, 126
Adidas, adidas Ultra Boost 4.0 Parley Legend Ink, 180, 1284, 139
Jordan, Jordan 1 Retro Storm Blue, 160, 544, 230
Nike, Air Force 1 Low Swoosh Pack All-Star 2018 (White), 110, 1147, 196
Adidas, adidas Yeezy Powerphase Calabasas Core Black, 120, 9536, 119
Jordan, Jordan 12 Retro Vachetta Tan (W), 190, 773, 139
Nike, Air Force 1 Low Off-White Black White (TD), 65, 646, 145
Other, Vans Slip-On Supreme Skull Pile (Green), 98, 722, 163
Jordan, Jordan 11 Retro Low University Blue (2017), 175, 1704, 186
Jordan, Jordan 1 Retro High Think 16 (Pass the Torch), 145, 958, 661
Jordan, Jordan 1 Retro High "Not for Resale" Varsity Maize, 160, 1166, 958
Adidas, adidas Nite Jogger Core Black, 140, 531, 147
Adidas, adidas Yeezy Boost 350 V2 Cream White Infant (I), 140, 666, 181
Jordan, Jordan Legacy 312 Trainer 3 Medicine Ball, 160, 752, 160
Nike, Nike PG 3 NASA, 120, 1121, 146
Nike, Air Force 1 High Flax (2017), 140, 508, 126
Nike, Nike SB Dunk Low Concepts Purple Lobster, 130, 2942, 264
Jordan, Jordan 11 Retro Low Bred, 170, 859, 280
Jordan, Jordan 11 Retro Low Cherry (2016), 170, 1015, 221
Adidas, adidas NMD R1 Neighborhood Core Black, 200, 1897, 299
Adidas, adidas Kamanda Dragon Ball Z Majin Buu, 150, 1330, 183
Nike, Air Foamposite One Abalone, 250, 1340, 209
Jordan, Jordan 10 Retro Tinker, 190, 921, 147
Jordan, Jordan 1 Retro Metallic Red 2017 (GS), 120, 573, 155
Adidas, adidas Prophere Dragon Ball Z Cell, 150, 1194, 227
Jordan, Jordan 4 Retro White Cement (2016), 220, 2761, 310
Jordan, Jordan 4 Retro Pure Money (2017), 190, 1732, 218
Other, Converse Chuck Taylor All-Star Hi Off-White, 130, 2037, 942
Jordan, Jordan 5 Retro International Flight, 190, 2221, 147
Jordan, Jordan 12 Retro Dark Grey, 190, 749, 203
Adidas, adidas ZX 500 Dragon Ball Z Son Goku, 170, 3520, 298
